Gene	Name	Type	Chr	Start	End
gene:Solyc01g005430.3	gene:Solyc01g005430.3	protein_coding	1	298680	303581
gene:Solyc01g005440.3	gene:Solyc01g005440.3	protein_coding	1	309090	312465
gene:Solyc01g005460.3	gene:Solyc01g005460.3	protein_coding	1	314758	321092
gene:Solyc01g005470.3	gene:Solyc01g005470.3	protein_coding	1	322539	324960
gene:Solyc01g005480.3	gene:Solyc01g005480.3	protein_coding	1	332991	337049
gene:Solyc01g005490.3	gene:Solyc01g005490.3	protein_coding	1	337908	340634
gene:Solyc01g005500.3	gene:Solyc01g005500.3	protein_coding	1	344744	346673
gene:Solyc01g005510.3	gene:Solyc01g005510.3	protein_coding	1	347207	348880
gene:Solyc01g005520.3	gene:Solyc01g005520.3	protein_coding	1	350024	352716
gene:Solyc01g005530.3	gene:Solyc01g005530.3	protein_coding	1	353904	356524
gene:Solyc01g005540.3	gene:Solyc01g005540.3	protein_coding	1	359779	370504
gene:Solyc01g005550.3	gene:Solyc01g005550.3	protein_coding	1	382343	385475
gene:Solyc01g005560.3	gene:Solyc01g005560.3	protein_coding	1	394353	399328
gene:Solyc01g005570.3	gene:Solyc01g005570.3	protein_coding	1	400722	403017
gene:Solyc01g005575.1	gene:Solyc01g005575.1	protein_coding	1	407272	409305
gene:Solyc01g005590.2	gene:Solyc01g005590.2	protein_coding	1	416887	417304
gene:Solyc01g005600.3	gene:Solyc01g005600.3	protein_coding	1	420193	426353
gene:Solyc01g005610.3	gene:Solyc01g005610.3	protein_coding	1	427655	430341
gene:Solyc01g005620.3	gene:Solyc01g005620.3	protein_coding	1	430476	435080
gene:Solyc01g005630.2	gene:Solyc01g005630.2	protein_coding	1	444811	445619
gene:Solyc01g005640.3	gene:Solyc01g005640.3	protein_coding	1	449852	454647
gene:Solyc01g005650.2	gene:Solyc01g005650.2	protein_coding	1	455415	457261
gene:Solyc01g005660.2	gene:Solyc01g005660.2	protein_coding	1	460108	461408
gene:Solyc01g005665.1	gene:Solyc01g005665.1	protein_coding	1	461647	461982
gene:Solyc01g005670.3	gene:Solyc01g005670.3	protein_coding	1	466435	467304
gene:Solyc01g005680.3	gene:Solyc01g005680.3	protein_coding	1	472529	477341
gene:Solyc01g005690.3	gene:Solyc01g005690.3	protein_coding	1	478644	480426
gene:Solyc01g005700.3	gene:Solyc01g005700.3	protein_coding	1	481060	484939
gene:Solyc01g005705.1	gene:Solyc01g005705.1	protein_coding	1	486165	493420
gene:Solyc01g005710.2	gene:Solyc01g005710.2	protein_coding	1	486502	487105
gene:Solyc01g005715.1	gene:Solyc01g005715.1	protein_coding	1	488057	490061
gene:Solyc01g005730.3	gene:Solyc01g005730.3	protein_coding	1	490689	494533
gene:Solyc01g005740.3	gene:Solyc01g005740.3	protein_coding	1	493985	494469
gene:Solyc01g005750.1	gene:Solyc01g005750.1	protein_coding	1	495111	495438
gene:Solyc01g005755.1	gene:Solyc01g005755.1	protein_coding	1	496501	499119
gene:Solyc01g005770.3	gene:Solyc01g005770.3	protein_coding	1	497949	502223
gene:Solyc01g005775.1	gene:Solyc01g005775.1	protein_coding	1	501852	505114
gene:Solyc01g005790.1	gene:Solyc01g005790.1	protein_coding	1	505626	507002
gene:Solyc01g005795.1	gene:Solyc01g005795.1	protein_coding	1	507950	508898
gene:Solyc01g005800.3	gene:Solyc01g005800.3	protein_coding	1	512557	515973
gene:Solyc01g005810.3	gene:Solyc01g005810.3	protein_coding	1	530367	534782
gene:Solyc01g005820.3	gene:Solyc01g005820.3	protein_coding	1	535572	541703
gene:Solyc01g005825.1	gene:Solyc01g005825.1	protein_coding	1	558799	559367
gene:Solyc01g005830.3	gene:Solyc01g005830.3	protein_coding	1	564882	571160
gene:Solyc01g005840.3	gene:Solyc01g005840.3	protein_coding	1	571881	574927
gene:Solyc01g005850.2	gene:Solyc01g005850.2	protein_coding	1	575559	576446
gene:Solyc01g005860.2	gene:Solyc01g005860.2	protein_coding	1	577114	580028
gene:Solyc01g005865.1	gene:Solyc01g005865.1	protein_coding	1	581112	583904
gene:Solyc01g005880.1	gene:Solyc01g005880.1	protein_coding	1	585371	586414
gene:Solyc01g005890.1	gene:Solyc01g005890.1	protein_coding	1	587984	588900
gene:Solyc01g005895.1	gene:Solyc01g005895.1	protein_coding	1	590339	591791
gene:Solyc01g005910.3	gene:Solyc01g005910.3	protein_coding	1	590594	598470
gene:ENSRNA050029561	gene:ENSRNA050029561	snRNA	1	598466	598623
gene:Solyc01g005930.3	gene:Solyc01g005930.3	protein_coding	1	606106	610218
gene:ENSRNA050028691	gene:ENSRNA050028691	tRNA	1	610226	610297
gene:Solyc01g005940.3	gene:Solyc01g005940.3	protein_coding	1	614495	616753
gene:Solyc01g005950.3	gene:Solyc01g005950.3	protein_coding	1	616639	624436
gene:Solyc01g005960.3	gene:Solyc01g005960.3	protein_coding	1	625153	632593
gene:Solyc01g005970.3	gene:Solyc01g005970.3	protein_coding	1	642039	647471
gene:Solyc01g005980.3	gene:Solyc01g005980.3	protein_coding	1	649541	652114
gene:Solyc01g005990.3	gene:Solyc01g005990.3	protein_coding	1	653437	655153
gene:Solyc01g006000.3	gene:Solyc01g006000.3	protein_coding	1	661940	669581
gene:Solyc01g006010.3	gene:Solyc01g006010.3	protein_coding	1	670648	678467
gene:Solyc01g006020.3	gene:Solyc01g006020.3	protein_coding	1	678843	681793
gene:Solyc01g006040.3	gene:Solyc01g006040.3	protein_coding	1	712452	726948
gene:Solyc01g006050.2	gene:Solyc01g006050.2	protein_coding	1	728672	730061
gene:Solyc01g006060.3	gene:Solyc01g006060.3	protein_coding	1	737074	737652
gene:Solyc01g006070.2	gene:Solyc01g006070.2	protein_coding	1	739393	740351
gene:Solyc01g006080.2	gene:Solyc01g006080.2	protein_coding	1	746437	749861
gene:Solyc01g006090.3	gene:Solyc01g006090.3	protein_coding	1	753737	755322
gene:Solyc01g006100.3	gene:Solyc01g006100.3	protein_coding	1	756262	764489
gene:Solyc01g006110.3	gene:Solyc01g006110.3	protein_coding	1	766154	771927
gene:Solyc01g006120.3	gene:Solyc01g006120.3	protein_coding	1	775937	784419
gene:ENSRNA050029589	gene:ENSRNA050029589	snoRNA	1	783012	783213
gene:Solyc01g006130.3	gene:Solyc01g006130.3	protein_coding	1	785063	789383
gene:Solyc01g006140.3	gene:Solyc01g006140.3	protein_coding	1	789404	793463
gene:Solyc01g006150.3	gene:Solyc01g006150.3	protein_coding	1	797118	801691
gene:Solyc01g006160.3	gene:Solyc01g006160.3	protein_coding	1	805837	807962
gene:Solyc01g006170.3	gene:Solyc01g006170.3	protein_coding	1	808930	811277
gene:Solyc01g006180.3	gene:Solyc01g006180.3	protein_coding	1	812230	818879
gene:Solyc01g006190.3	gene:Solyc01g006190.3	protein_coding	1	819074	822480
gene:Solyc01g006195.1	gene:Solyc01g006195.1	protein_coding	1	822498	823637
gene:Solyc01g006200.3	gene:Solyc01g006200.3	protein_coding	1	829576	832645
gene:Solyc01g006210.3	gene:Solyc01g006210.3	protein_coding	1	833133	836543
gene:Solyc01g006220.2	gene:Solyc01g006220.2	protein_coding	1	839412	851308
gene:Solyc01g006230.3	gene:Solyc01g006230.3	protein_coding	1	852614	858911
gene:Solyc01g006240.3	gene:Solyc01g006240.3	protein_coding	1	859861	860918
gene:Solyc01g006250.2	gene:Solyc01g006250.2	protein_coding	1	861410	864064
gene:Solyc01g006260.3	gene:Solyc01g006260.3	protein_coding	1	866282	869756
gene:ENSRNA050028603	gene:ENSRNA050028603	tRNA	1	870036	870108
gene:Solyc01g006270.2	gene:Solyc01g006270.2	protein_coding	1	873680	874392
gene:Solyc01g006280.3	gene:Solyc01g006280.3	protein_coding	1	873779	880657
gene:Solyc01g006290.3	gene:Solyc01g006290.3	protein_coding	1	884367	886987
gene:Solyc01g006300.3	gene:Solyc01g006300.3	protein_coding	1	888483	891334
gene:Solyc01g006310.3	gene:Solyc01g006310.3	protein_coding	1	898762	901643
gene:Solyc01g006320.3	gene:Solyc01g006320.3	protein_coding	1	903446	904121
gene:Solyc01g006340.3	gene:Solyc01g006340.3	protein_coding	1	909106	918634
gene:Solyc01g006350.3	gene:Solyc01g006350.3	protein_coding	1	934010	945512
gene:Solyc01g006360.3	gene:Solyc01g006360.3	protein_coding	1	951338	981297
gene:Solyc01g006370.3	gene:Solyc01g006370.3	protein_coding	1	983202	1005282
gene:Solyc01g006380.2	gene:Solyc01g006380.2	protein_coding	1	1012479	1014082
gene:Solyc01g006390.2	gene:Solyc01g006390.2	protein_coding	1	1016905	1018236
gene:Solyc01g006400.3	gene:Solyc01g006400.3	protein_coding	1	1020863	1022356
gene:Solyc01g006410.3	gene:Solyc01g006410.3	protein_coding	1	1024549	1025244
gene:Solyc01g006420.3	gene:Solyc01g006420.3	protein_coding	1	1029976	1030461
gene:Solyc01g006430.3	gene:Solyc01g006430.3	protein_coding	1	1033439	1038597
gene:Solyc01g006440.2	gene:Solyc01g006440.2	protein_coding	1	1046848	1053164
gene:Solyc01g006450.3	gene:Solyc01g006450.3	protein_coding	1	1057680	1063081
gene:Solyc01g006460.2	gene:Solyc01g006460.2	protein_coding	1	1063763	1067132
gene:Solyc01g006480.3	gene:Solyc01g006480.3	protein_coding	1	1073746	1078046
gene:Solyc01g006490.3	gene:Solyc01g006490.3	protein_coding	1	1081162	1086682
gene:Solyc01g006500.3	gene:Solyc01g006500.3	protein_coding	1	1089014	1092709
gene:Solyc01g006510.3	gene:Solyc01g006510.3	protein_coding	1	1093447	1097858
gene:Solyc01g006530.2	gene:Solyc01g006530.2	protein_coding	1	1099091	1106640
gene:Solyc01g006540.3	gene:Solyc01g006540.3	protein_coding	1	1113465	1123469
gene:Solyc01g006545.1	gene:Solyc01g006545.1	protein_coding	1	1124145	1126682
gene:Solyc01g006560.3	gene:Solyc01g006560.3	protein_coding	1	1128398	1132896
gene:Solyc01g006565.1	gene:Solyc01g006565.1	protein_coding	1	1134913	1139192
gene:Solyc01g006570.1	gene:Solyc01g006570.1	protein_coding	1	1144914	1145087
gene:Solyc01g006575.1	gene:Solyc01g006575.1	protein_coding	1	1174602	1175623
gene:Solyc01g006580.3	gene:Solyc01g006580.3	protein_coding	1	1182697	1185045
gene:Solyc01g006590.2	gene:Solyc01g006590.2	protein_coding	1	1197287	1199684
gene:Solyc01g006600.2	gene:Solyc01g006600.2	protein_coding	1	1200874	1207284
gene:Solyc01g006610.2	gene:Solyc01g006610.2	protein_coding	1	1209394	1212551
gene:Solyc01g006620.3	gene:Solyc01g006620.3	protein_coding	1	1216795	1219101
gene:Solyc01g006630.3	gene:Solyc01g006630.3	protein_coding	1	1222559	1230306
gene:Solyc01g006640.1	gene:Solyc01g006640.1	protein_coding	1	1235322	1244035
gene:Solyc01g006650.2	gene:Solyc01g006650.2	protein_coding	1	1244769	1254447
gene:Solyc01g006660.2	gene:Solyc01g006660.2	protein_coding	1	1250476	1264318
gene:Solyc01g006665.1	gene:Solyc01g006665.1	protein_coding	1	1252913	1254447
gene:Solyc01g006690.3	gene:Solyc01g006690.3	protein_coding	1	1266897	1270429
gene:Solyc01g006700.3	gene:Solyc01g006700.3	protein_coding	1	1276899	1285021
gene:Solyc01g006710.3	gene:Solyc01g006710.3	protein_coding	1	1284789	1300243
gene:ENSRNA050029569	gene:ENSRNA050029569	snoRNA	1	1298039	1298230
gene:Solyc01g006720.3	gene:Solyc01g006720.3	protein_coding	1	1300996	1309933
gene:Solyc01g006730.3	gene:Solyc01g006730.3	protein_coding	1	1328022	1332072
gene:Solyc01g006735.1	gene:Solyc01g006735.1	protein_coding	1	1334863	1335201
gene:Solyc01g006740.3	gene:Solyc01g006740.3	protein_coding	1	1336189	1340485
gene:Solyc01g006750.2	gene:Solyc01g006750.2	protein_coding	1	1343811	1344352
gene:Solyc01g006755.1	gene:Solyc01g006755.1	protein_coding	1	1343868	1344209
gene:Solyc01g006760.3	gene:Solyc01g006760.3	protein_coding	1	1348229	1350019
gene:Solyc01g006770.2	gene:Solyc01g006770.2	protein_coding	1	1350388	1354268
gene:Solyc01g006780.3	gene:Solyc01g006780.3	protein_coding	1	1359437	1360056
gene:Solyc01g006790.2	gene:Solyc01g006790.2	nontranslating_CDS	1	1360219	1360949
gene:Solyc01g006800.3	gene:Solyc01g006800.3	protein_coding	1	1364188	1371921
gene:Solyc01g006810.3	gene:Solyc01g006810.3	protein_coding	1	1372833	1378521
gene:Solyc01g006820.2	gene:Solyc01g006820.2	protein_coding	1	1390367	1391134
gene:Solyc01g006825.1	gene:Solyc01g006825.1	protein_coding	1	1390401	1391912
gene:Solyc01g006830.3	gene:Solyc01g006830.3	protein_coding	1	1399076	1404011
gene:Solyc01g006840.3	gene:Solyc01g006840.3	protein_coding	1	1409990	1415474
gene:Solyc01g006850.1	gene:Solyc01g006850.1	protein_coding	1	1417007	1420300
gene:Solyc01g006870.3	gene:Solyc01g006870.3	protein_coding	1	1422507	1438520
gene:Solyc01g006880.3	gene:Solyc01g006880.3	protein_coding	1	1441707	1457663
gene:Solyc01g006890.3	gene:Solyc01g006890.3	protein_coding	1	1464997	1470333
gene:Solyc01g006900.3	gene:Solyc01g006900.3	protein_coding	1	1471955	1477626
gene:Solyc01g006910.3	gene:Solyc01g006910.3	protein_coding	1	1484056	1484657
gene:Solyc01g006920.3	gene:Solyc01g006920.3	protein_coding	1	1487515	1491708
gene:Solyc01g006925.1	gene:Solyc01g006925.1	protein_coding	1	1491677	1492878
gene:Solyc01g006930.3	gene:Solyc01g006930.3	protein_coding	1	1503975	1510963
gene:Solyc01g006940.3	gene:Solyc01g006940.3	protein_coding	1	1511618	1514428
gene:Solyc01g006950.3	gene:Solyc01g006950.3	protein_coding	1	1515155	1517487
gene:Solyc01g006960.3	gene:Solyc01g006960.3	protein_coding	1	1519534	1539151
gene:Solyc01g006970.3	gene:Solyc01g006970.3	protein_coding	1	1541026	1550378
gene:Solyc01g006980.3	gene:Solyc01g006980.3	protein_coding	1	1551135	1554997
gene:Solyc01g006990.3	gene:Solyc01g006990.3	protein_coding	1	1555895	1557716
gene:Solyc01g006993.1	gene:Solyc01g006993.1	protein_coding	1	1558632	1559680
gene:Solyc01g006997.1	gene:Solyc01g006997.1	protein_coding	1	1563937	1565213
gene:Solyc01g007010.3	gene:Solyc01g007010.3	protein_coding	1	1567452	1572335
gene:Solyc01g007020.3	gene:Solyc01g007020.3	protein_coding	1	1576500	1577252
gene:Solyc01g007025.1	gene:Solyc01g007025.1	protein_coding	1	1577293	1577730
gene:Solyc01g007030.3	gene:Solyc01g007030.3	protein_coding	1	1582086	1582763
gene:Solyc01g007040.3	gene:Solyc01g007040.3	protein_coding	1	1582775	1583263
gene:Solyc01g007050.2	gene:Solyc01g007050.2	protein_coding	1	1589580	1591140
gene:Solyc01g007060.3	gene:Solyc01g007060.3	protein_coding	1	1594424	1599837
gene:Solyc01g007070.3	gene:Solyc01g007070.3	protein_coding	1	1601533	1605813
gene:Solyc01g007080.3	gene:Solyc01g007080.3	protein_coding	1	1627511	1632919
gene:Solyc01g007090.1	gene:Solyc01g007090.1	protein_coding	1	1648003	1652533
gene:Solyc01g007100.3	gene:Solyc01g007100.3	protein_coding	1	1652593	1657440
gene:Solyc01g007110.3	gene:Solyc01g007110.3	protein_coding	1	1658815	1666623
gene:Solyc01g007120.3	gene:Solyc01g007120.3	protein_coding	1	1660759	1667482
gene:Solyc01g007130.3	gene:Solyc01g007130.3	protein_coding	1	1675643	1679446
gene:Solyc01g007140.3	gene:Solyc01g007140.3	protein_coding	1	1682725	1702095
gene:Solyc01g007150.3	gene:Solyc01g007150.3	protein_coding	1	1710462	1720369
gene:Solyc01g007160.3	gene:Solyc01g007160.3	protein_coding	1	1727076	1732177
gene:Solyc01g007170.3	gene:Solyc01g007170.3	protein_coding	1	1732797	1735826
gene:Solyc01g007180.3	gene:Solyc01g007180.3	protein_coding	1	1740771	1744700
gene:ENSRNA050029581	gene:ENSRNA050029581	snRNA	1	1745889	1746005
gene:ENSRNA050029545	gene:ENSRNA050029545	snRNA	1	1747037	1747197
gene:ENSRNA050029567	gene:ENSRNA050029567	snRNA	1	1747737	1747854
gene:ENSRNA050029549	gene:ENSRNA050029549	snRNA	1	1748888	1749048
gene:ENSRNA050029571	gene:ENSRNA050029571	snRNA	1	1749642	1749758
gene:ENSRNA050029554	gene:ENSRNA050029554	snRNA	1	1750665	1750825
gene:ENSRNA050029551	gene:ENSRNA050029551	snRNA	1	1751971	1752130
gene:ENSRNA050029573	gene:ENSRNA050029573	snRNA	1	1754808	1754924
gene:ENSRNA050029543	gene:ENSRNA050029543	snRNA	1	1756004	1756164
gene:ENSRNA050029583	gene:ENSRNA050029583	snRNA	1	1757116	1757232
gene:ENSRNA050029586	gene:ENSRNA050029586	snRNA	1	1757763	1757915
gene:ENSRNA050029576	gene:ENSRNA050029576	snRNA	1	1761008	1761124
gene:ENSRNA050029559	gene:ENSRNA050029559	snRNA	1	1761729	1761889
gene:ENSRNA050029547	gene:ENSRNA050029547	snRNA	1	1763133	1763293
gene:ENSRNA050029585	gene:ENSRNA050029585	snRNA	1	1764222	1764338
gene:ENSRNA050029578	gene:ENSRNA050029578	snRNA	1	1764876	1765029
gene:Solyc01g007190.3	gene:Solyc01g007190.3	protein_coding	1	1769140	1770223
gene:Solyc01g007200.2	gene:Solyc01g007200.2	protein_coding	1	1773390	1777038
gene:Solyc01g007210.3	gene:Solyc01g007210.3	protein_coding	1	1778171	1780149
gene:Solyc01g007220.3	gene:Solyc01g007220.3	protein_coding	1	1799709	1800344
gene:Solyc01g007230.3	gene:Solyc01g007230.3	protein_coding	1	1804503	1805192
gene:Solyc01g007240.3	gene:Solyc01g007240.3	protein_coding	1	1807067	1807751
gene:Solyc01g007250.3	gene:Solyc01g007250.3	protein_coding	1	1808372	1812614
gene:Solyc01g007260.3	gene:Solyc01g007260.3	protein_coding	1	1819144	1823385
gene:Solyc01g007265.1	gene:Solyc01g007265.1	protein_coding	1	1837605	1840823
gene:Solyc01g007740.3	gene:Solyc01g007740.3	protein_coding	1	1839751	1843784
gene:Solyc01g007750.3	gene:Solyc01g007750.3	protein_coding	1	1846891	1850407
gene:Solyc01g007760.3	gene:Solyc01g007760.3	protein_coding	1	1851709	1857280
gene:Solyc01g007770.2	gene:Solyc01g007770.2	protein_coding	1	1862635	1863361
gene:Solyc01g007780.3	gene:Solyc01g007780.3	protein_coding	1	1862690	1868678
gene:Solyc01g007790.3	gene:Solyc01g007790.3	protein_coding	1	1874922	1884681
gene:Solyc01g007800.3	gene:Solyc01g007800.3	protein_coding	1	1890877	1891425
gene:Solyc01g007810.1	gene:Solyc01g007810.1	protein_coding	1	1906576	1907472
gene:Solyc01g007830.2	gene:Solyc01g007830.2	protein_coding	1	1935759	1938784
gene:Solyc01g007840.3	gene:Solyc01g007840.3	protein_coding	1	1942415	1943272
gene:Solyc01g007850.2	gene:Solyc01g007850.2	protein_coding	1	1946754	1949891
gene:Solyc01g007855.1	gene:Solyc01g007855.1	protein_coding	1	1949916	1955096
gene:Solyc01g007860.3	gene:Solyc01g007860.3	protein_coding	1	1953788	1957531
gene:Solyc01g007870.3	gene:Solyc01g007870.3	protein_coding	1	1967558	1968452
gene:Solyc01g007880.3	gene:Solyc01g007880.3	protein_coding	1	1977013	1991492
gene:Solyc01g007890.2	gene:Solyc01g007890.2	protein_coding	1	1994874	1998989
gene:Solyc01g007895.1	gene:Solyc01g007895.1	protein_coding	1	2013948	2021766
gene:Solyc01g007900.3	gene:Solyc01g007900.3	protein_coding	1	2030843	2038291
gene:Solyc01g007910.3	gene:Solyc01g007910.3	protein_coding	1	2040541	2048274
gene:Solyc01g007930.3	gene:Solyc01g007930.3	protein_coding	1	2041631	2056135
gene:Solyc01g007920.2	gene:Solyc01g007920.2	protein_coding	1	2049563	2052866
gene:Solyc01g007940.3	gene:Solyc01g007940.3	protein_coding	1	2058422	2064704
gene:Solyc01g007950.3	gene:Solyc01g007950.3	protein_coding	1	2070321	2072713
gene:Solyc01g007955.1	gene:Solyc01g007955.1	protein_coding	1	2073470	2078656
gene:Solyc01g007960.3	gene:Solyc01g007960.3	protein_coding	1	2083908	2109080
gene:Solyc01g008000.3	gene:Solyc01g008000.3	protein_coding	1	2110531	2114573
gene:Solyc01g008005.1	gene:Solyc01g008005.1	protein_coding	1	2114698	2115300
gene:Solyc01g008010.3	gene:Solyc01g008010.3	protein_coding	1	2116732	2120424
gene:Solyc01g008020.3	gene:Solyc01g008020.3	protein_coding	1	2120547	2124810
gene:Solyc01g008030.3	gene:Solyc01g008030.3	protein_coding	1	2129602	2131692
gene:Solyc01g008040.1	gene:Solyc01g008040.1	protein_coding	1	2132010	2133305
gene:Solyc01g008050.3	gene:Solyc01g008050.3	protein_coding	1	2134653	2136603
gene:Solyc01g008070.3	gene:Solyc01g008070.3	protein_coding	1	2138397	2154648
gene:Solyc01g008090.3	gene:Solyc01g008090.3	protein_coding	1	2155674	2163677
gene:Solyc01g008100.3	gene:Solyc01g008100.3	protein_coding	1	2164619	2168876
gene:Solyc01g008110.3	gene:Solyc01g008110.3	protein_coding	1	2174524	2178734
gene:Solyc01g008115.1	gene:Solyc01g008115.1	protein_coding	1	2177643	2178244
gene:Solyc01g008120.3	gene:Solyc01g008120.3	protein_coding	1	2180145	2198645
gene:Solyc01g008130.3	gene:Solyc01g008130.3	protein_coding	1	2208897	2218498
gene:Solyc01g008140.3	gene:Solyc01g008140.3	protein_coding	1	2222469	2225510
gene:Solyc01g008150.1	gene:Solyc01g008150.1	protein_coding	1	2236789	2236938
gene:Solyc01g008160.3	gene:Solyc01g008160.3	protein_coding	1	2239451	2239912
gene:Solyc01g008170.3	gene:Solyc01g008170.3	protein_coding	1	2243235	2247501
gene:Solyc01g008180.3	gene:Solyc01g008180.3	protein_coding	1	2262320	2269228
gene:Solyc01g008190.3	gene:Solyc01g008190.3	protein_coding	1	2277299	2277841
gene:Solyc01g008200.3	gene:Solyc01g008200.3	protein_coding	1	2283058	2284206
gene:Solyc01g008220.3	gene:Solyc01g008220.3	protein_coding	1	2285373	2289692
gene:Solyc01g008230.3	gene:Solyc01g008230.3	protein_coding	1	2294446	2295195
gene:Solyc01g008240.3	gene:Solyc01g008240.3	protein_coding	1	2303734	2312454
gene:Solyc01g008260.3	gene:Solyc01g008260.3	protein_coding	1	2315052	2319157
gene:Solyc01g008270.3	gene:Solyc01g008270.3	protein_coding	1	2320490	2324633
gene:Solyc01g008280.3	gene:Solyc01g008280.3	protein_coding	1	2326183	2329658
gene:Solyc01g008290.3	gene:Solyc01g008290.3	protein_coding	1	2331218	2339467
gene:Solyc01g008300.2	gene:Solyc01g008300.2	protein_coding	1	2339578	2342094
gene:Solyc01g008310.3	gene:Solyc01g008310.3	protein_coding	1	2343677	2357306
gene:Solyc01g008320.3	gene:Solyc01g008320.3	protein_coding	1	2361807	2396361
gene:Solyc01g008340.3	gene:Solyc01g008340.3	protein_coding	1	2397669	2405412
gene:Solyc01g008350.3	gene:Solyc01g008350.3	protein_coding	1	2407143	2408160
gene:Solyc01g008360.3	gene:Solyc01g008360.3	protein_coding	1	2409028	2411020
gene:Solyc01g008370.3	gene:Solyc01g008370.3	protein_coding	1	2412063	2417918
gene:Solyc01g008400.3	gene:Solyc01g008400.3	protein_coding	1	2419401	2429286
gene:Solyc01g008405.1	gene:Solyc01g008405.1	protein_coding	1	2419728	2420695
gene:Solyc01g008390.2	gene:Solyc01g008390.2	protein_coding	1	2422018	2423103
gene:Solyc01g008410.2	gene:Solyc01g008410.2	nontranslating_CDS	1	2427700	2430124
gene:Solyc01g008415.1	gene:Solyc01g008415.1	protein_coding	1	2435750	2436927
gene:Solyc01g008420.3	gene:Solyc01g008420.3	protein_coding	1	2439382	2446147
gene:Solyc01g008430.2	gene:Solyc01g008430.2	protein_coding	1	2448597	2451862
gene:Solyc01g008440.3	gene:Solyc01g008440.3	protein_coding	1	2457096	2463776
gene:Solyc01g008450.1	gene:Solyc01g008450.1	protein_coding	1	2472104	2472937
gene:Solyc01g008460.3	gene:Solyc01g008460.3	protein_coding	1	2476607	2481622
gene:Solyc01g008470.3	gene:Solyc01g008470.3	protein_coding	1	2482816	2489025
gene:Solyc01g008471.1	gene:Solyc01g008471.1	protein_coding	1	2489946	2490612
gene:Solyc01g008472.1	gene:Solyc01g008472.1	protein_coding	1	2493379	2493882
gene:Solyc01g008474.1	gene:Solyc01g008474.1	protein_coding	1	2496795	2498034
