Gene	Name	Type	Chr	Strand	Start	End
ENSMUSG00000101054	Gm18406	processed_pseudogene	1	-	112331917	112332585
ENSMUSG00000088691	Gm22331	snoRNA	1	+	112395641	112395776
ENSMUSG00000099884	Gm8204	processed_pseudogene	1	-	112801575	112803718
ENSMUSG00000100304	Gm28190	processed_pseudogene	1	-	112893272	112894661
ENSMUSG00000101453	Gm28189	lncRNA	1	+	113217070	113218095
ENSMUSG00000102105	Gm17946	processed_pseudogene	1	-	113493176	113493713
ENSMUSG00000099943	Gm18181	processed_pseudogene	1	-	113510501	113511236
ENSMUSG00002075119	Gm54688	snoRNA	1	-	113645644	113645777
ENSMUSG00000097648	9330185C12Rik	lncRNA	1	-	113819115	113891864
ENSMUSG00000101687	Gm4854	processed_pseudogene	1	-	115146920	115147493
ENSMUSG00000055214	Pld5	protein_coding	1	-	175789872	176102878
ENSMUSG00000078184	Rbm8a2	protein_coding	1	-	175805343	175806680
ENSMUSG00000104363	Gm38081	TEC	1	-	175858645	175860289
ENSMUSG00000103277	Gm37916	TEC	1	+	176006767	176009201
ENSMUSG00000104157	Gm38101	lncRNA	1	+	176103779	176107335
ENSMUSG00000102446	Gm17965	processed_pseudogene	1	-	176166693	176167209
ENSMUSG00000104248	Gm38152	TEC	1	-	176197721	176201286
ENSMUSG00000104021	Gm36536	lncRNA	1	-	176257677	176354839
ENSMUSG00000103471	Gm17966	processed_pseudogene	1	-	176469463	176470124
ENSMUSG00000087875	Gm26104	snRNA	1	+	176528183	176528290
ENSMUSG00000033007	Asic4	protein_coding	1	+	75427080	75450987
ENSMUSG00000070695	Cntnap5a	protein_coding	1	+	115612486	116515053
ENSMUSG00000025909	Sntg1	protein_coding	1	-	8431699	9370103
ENSMUSG00002076179	Gm54703	miRNA	1	-	116322072	116322143
ENSMUSG00000102033	Gm28263	processed_pseudogene	1	+	116561507	116561906
ENSMUSG00000102647	Gm38024	TEC	1	-	8521184	8523715
ENSMUSG00000086235	Gm16284	processed_pseudogene	1	-	8538650	8539049
ENSMUSG00000102253	Gm38259	TEC	1	-	8598004	8601537
ENSMUSG00002074990	Gm54704	miRNA	1	-	8658839	8658948
ENSMUSG00000094429	Gm19965	protein_coding	1	+	116730713	116751140
ENSMUSG00000103884	Gm37005	TEC	1	-	8713920	8715083
ENSMUSG00000084353	Gm15452	processed_pseudogene	1	-	8862147	8862386
ENSMUSG00000103933	Gm36964	processed_pseudogene	1	+	8886066	8886263
ENSMUSG00002075967	Gm54706	miRNA	1	+	8886362	8886471
ENSMUSG00000086195	Gm6152	processed_pseudogene	1	-	8926152	8926491
ENSMUSG00000104504	Gm7445	processed_pseudogene	1	+	8926987	8927326
ENSMUSG00000066693	Gm7493	processed_pseudogene	1	-	9033220	9033845
ENSMUSG00000102316	Gm37629	TEC	1	-	9261292	9262341
ENSMUSG00000103819	Gm38008	processed_pseudogene	1	-	9328842	9329359
ENSMUSG00000102871	Gm37143	TEC	1	+	9357147	9360405
ENSMUSG00000101571	Gm6187	processed_pseudogene	1	-	9466998	9468912
ENSMUSG00000104428	Gm18299	processed_pseudogene	1	-	9509966	9510601
ENSMUSG00000102272	Gm7512	processed_pseudogene	1	+	9520804	9521973
ENSMUSG00000065625	Gm24765	snRNA	1	+	9528895	9528997
ENSMUSG00000103411	Gm18300	processed_pseudogene	1	-	9569563	9571747
ENSMUSG00000061024	Rrs1	protein_coding	1	+	9615633	9617680
ENSMUSG00000102030	Gm29106	protein_coding	1	+	118104272	118130037
ENSMUSG00000025911	Adhfe1	protein_coding	1	+	9618173	9650898
ENSMUSG00000081441	Gm6161	processed_pseudogene	1	+	9644773	9645874
ENSMUSG00000067879	Vxn	protein_coding	1	+	9671424	9697368
ENSMUSG00000099827	Gm29520	lncRNA	1	-	9709480	9710807
ENSMUSG00000057335	Cep170	protein_coding	1	-	176561219	176641633
ENSMUSG00000103634	3110062G12Rik	TEC	1	-	176573130	176574548
ENSMUSG00000104154	Gm38104	TEC	1	-	176579087	176580981
ENSMUSG00000103435	Gm36992	lncRNA	1	+	176582083	176586442
ENSMUSG00000065573	Mir350	miRNA	1	-	176599891	176599989
ENSMUSG00002076271	Gm54718	misc_RNA	1	+	176621522	176621786
ENSMUSG00000100551	Gm19503	processed_pseudogene	1	-	151396198	151396438
ENSMUSG00000100357	Gm28181	lncRNA	1	-	151424996	151426694
ENSMUSG00000025912	Mybl1	protein_coding	1	-	9737640	9770434
ENSMUSG00000045210	Vcpip1	protein_coding	1	-	9788847	9818607
ENSMUSG00000041763	Tpp2	protein_coding	1	+	43972807	44042160
ENSMUSG00000026504	Sdccag8	protein_coding	1	+	176642226	176848003
ENSMUSG00000103367	Gm38158	processed_pseudogene	1	+	176663290	176663628
ENSMUSG00000103584	Gm38053	unprocessed_pseudogene	1	-	176681966	176682125
ENSMUSG00002076339	Gm54732	miRNA	1	+	176707400	176707479
ENSMUSG00000102475	Gm37246	processed_pseudogene	1	+	176709137	176709971
ENSMUSG00000047343	Mettl21c	protein_coding	1	-	44048568	44059194
ENSMUSG00000102211	Gm37490	TEC	1	+	176717073	176717796
ENSMUSG00000087082	Gm15423	lncRNA	1	-	176755565	176760277
ENSMUSG00000090106	Gm15838	processed_pseudogene	1	-	44057630	44057809
ENSMUSG00000103251	Gm37519	TEC	1	+	176801802	176804011
ENSMUSG00000091844	Ccdc168	protein_coding	1	-	44095032	44118906
ENSMUSG00000026483	Niban1	protein_coding	1	+	151446937	151597690
ENSMUSG00000082528	Gm15182	processed_pseudogene	1	+	75601298	75602973
ENSMUSG00000082012	Gm5257	processed_pseudogene	1	+	75613034	75613823
ENSMUSG00000099996	Gm29065	lncRNA	1	-	75993295	75995393
ENSMUSG00000101763	Gm29068	processed_pseudogene	1	-	76086818	76087217
ENSMUSG00000100827	Gm29069	lncRNA	1	+	76397329	76505059
ENSMUSG00000100553	Gm17751	lncRNA	1	+	76465770	76478665
ENSMUSG00000098611	Mir6343	miRNA	1	+	76486197	76486280
ENSMUSG00000100534	Gm816	lncRNA	1	-	76867109	77004429
ENSMUSG00000102904	Gm38265	TEC	1	-	77119864	77123629
ENSMUSG00002076350	Gm54739	rRNA	1	+	77121390	77121483
ENSMUSG00000019699	Akt3	protein_coding	1	-	176847639	177085769
ENSMUSG00000104391	Gm37960	TEC	1	-	176862606	176864502
ENSMUSG00000102133	Gm37106	TEC	1	-	176872808	176874339
ENSMUSG00000102749	Gm37598	TEC	1	-	176902050	176903350
ENSMUSG00000103163	Gm38146	TEC	1	-	176961727	176963019
ENSMUSG00000103646	Gm37706	TEC	1	-	176995664	176998428
ENSMUSG00000102427	Gm37463	TEC	1	-	177057457	177058252
ENSMUSG00000103633	Gm38328	processed_pseudogene	1	+	177096918	177097234
ENSMUSG00000097892	Gm26801	lncRNA	1	-	177255904	177270836
ENSMUSG00000063659	Zbtb18	protein_coding	1	+	177269917	177278330
ENSMUSG00000102432	Gm29856	lncRNA	1	+	177286532	177288770
ENSMUSG00000103043	Gm37306	lncRNA	1	+	177294944	177303833
ENSMUSG00000102885	Gm37280	lncRNA	1	-	177416587	177422088
ENSMUSG00000026049	Tex30	protein_coding	1	-	44125773	44141601
ENSMUSG00000103767	Gm37858	TEC	1	-	177463273	177464503
ENSMUSG00000043019	Edem3	protein_coding	1	+	151631122	151697802
ENSMUSG00000101104	Gm29247	lncRNA	1	-	44130623	44149950
ENSMUSG00000015962	1700016C15Rik	protein_coding	1	+	177557380	177580890
ENSMUSG00000032666	1700025G04Rik	protein_coding	1	-	151728154	151965876
ENSMUSG00000084557	Gm25279	snRNA	1	-	151730574	151730706
ENSMUSG00000100685	Gm28610	lncRNA	1	+	151751170	151762814
ENSMUSG00000102090	Gm8964	processed_pseudogene	1	+	152004336	152005140
ENSMUSG00000103744	Gm38238	TEC	1	-	152167934	152168279
ENSMUSG00000015961	Adss	protein_coding	1	-	177590528	177624077
ENSMUSG00000089657	Gm16585	processed_pseudogene	1	+	177614422	177615031
ENSMUSG00000102483	Catspere1	protein_coding	1	+	177635997	177790244
ENSMUSG00000014980	Tsen15	protein_coding	1	-	152246486	152262439
ENSMUSG00000026235	Epha4	protein_coding	1	-	77343822	77491725
ENSMUSG00000099141	Mir6352	miRNA	1	-	77473290	77473405
ENSMUSG00000032649	Colgalt2	protein_coding	1	+	152275581	152386446
ENSMUSG00000101849	Gm28386	lncRNA	1	+	77491917	77493765
ENSMUSG00000101506	Gm28385	processed_pseudogene	1	+	77547309	77547600
ENSMUSG00000065215	Gm26263	snRNA	1	-	77874920	77875083
ENSMUSG00000102052	Gm28387	lncRNA	1	-	77919603	77949013
ENSMUSG00000026047	Poglut2	protein_coding	1	-	44145706	44157968
ENSMUSG00000080878	Btf3-ps14	processed_pseudogene	1	-	152282825	152283276
ENSMUSG00000091476	Catspere2	protein_coding	1	+	177810989	178000271
ENSMUSG00000104097	Gm37313	unprocessed_pseudogene	1	-	177817228	177826305
ENSMUSG00000119789	Gm25312	snRNA	1	-	177855599	177855705
ENSMUSG00000102493	Gm8010	unprocessed_pseudogene	1	+	177970867	177971838
ENSMUSG00000004872	Pax3	protein_coding	1	-	78077904	78173771
ENSMUSG00000118426	Gm2102	processed_pseudogene	1	-	78193369	78194113
ENSMUSG00000041684	Bivm	protein_coding	1	+	44158117	44183930
ENSMUSG00000032908	Sgpp2	protein_coding	1	+	78286982	78396926
ENSMUSG00000099561	Gm28410	lncRNA	1	-	78302265	78316743
ENSMUSG00000102945	Gm37884	TEC	1	+	78352251	78353068
ENSMUSG00000026502	Desi2	protein_coding	1	+	178014983	178084867
ENSMUSG00000103958	Gm8023	processed_pseudogene	1	+	178093770	178094672
ENSMUSG00000104126	Gm37486	processed_pseudogene	1	+	178126961	178127365
ENSMUSG00000026500	Cox20	protein_coding	1	+	178146695	178150258
ENSMUSG00000026048	Ercc5	protein_coding	1	+	44186904	44220420
ENSMUSG00000046828	Mettl21e	protein_coding	1	-	44243230	44258121
ENSMUSG00000089703	Gm15833	processed_pseudogene	1	+	44251322	44252278
ENSMUSG00000100966	Gm5700	processed_pseudogene	1	-	44369208	44370196
ENSMUSG00000100769	Gm28893	lncRNA	1	+	44431969	44433607
ENSMUSG00000101567	Txn-ps1	processed_pseudogene	1	-	44503083	44503391
ENSMUSG00000026245	Farsb	protein_coding	1	-	78394612	78465534
ENSMUSG00000101798	Gm28995	unprocessed_pseudogene	1	+	78409989	78410249
ENSMUSG00000104018	4833412K13Rik	TEC	1	-	78442085	78443563
ENSMUSG00000090486	BC035947	protein_coding	1	-	78473663	78488795
ENSMUSG00000026482	Rgl1	protein_coding	1	-	152392511	152642102
ENSMUSG00000086145	Gm15479	lncRNA	1	-	152559777	152563252
ENSMUSG00000080950	Gm7278	processed_pseudogene	1	-	152604910	152606310
ENSMUSG00000099868	Gm28792	lncRNA	1	-	152606957	152627575
ENSMUSG00000055547	Apobec4	protein_coding	1	+	152626302	152633295
ENSMUSG00000012187	Mogat1	protein_coding	1	+	78487628	78514810
ENSMUSG00000008475	Arpc5	protein_coding	1	+	152642293	152651348
ENSMUSG00000099364	5730419F03Rik	lncRNA	1	-	78571663	78588078
ENSMUSG00000100562	Gm29611	lncRNA	1	+	78593262	78597882
ENSMUSG00000056870	Gulp1	protein_coding	1	+	44590671	44835998
ENSMUSG00000102319	Gm37626	TEC	1	+	44600045	44604607
ENSMUSG00000089877	Gm16102	processed_pseudogene	1	+	44683439	44683858
ENSMUSG00000101701	4930521E06Rik	lncRNA	1	-	44778836	44784109
ENSMUSG00000103071	Gm38110	TEC	1	+	44796102	44797652
ENSMUSG00000100434	Gm3489	processed_pseudogene	1	+	44878331	44878858
ENSMUSG00000100013	Gm19480	processed_pseudogene	1	-	44912646	44913312
ENSMUSG00000101251	Gm3496	processed_pseudogene	1	-	44963309	44964053
ENSMUSG00000101937	Gm5268	processed_pseudogene	1	+	45217227	45218166
ENSMUSG00000039630	Hnrnpu	protein_coding	1	-	178148673	178165362
ENSMUSG00000104279	Gm38300	TEC	1	+	178167166	178169035
ENSMUSG00002075531	Gm54783	miRNA	1	-	178190966	178191086
ENSMUSG00000064954	Gm24919	snRNA	1	+	178218384	178218489
ENSMUSG00000026495	Efcab2	protein_coding	1	+	178233650	178312078
ENSMUSG00000032883	Acsl3	protein_coding	1	+	78635542	78685460
ENSMUSG00000026480	Ncf2	protein_coding	1	+	152675945	152712742
ENSMUSG00000026494	Kif26b	protein_coding	1	+	178356690	178766765
ENSMUSG00000064967	Gm24405	snRNA	1	+	178464470	178464636
ENSMUSG00000102922	Gm34176	processed_pseudogene	1	+	178583373	178583846
ENSMUSG00000025915	Sgk3	protein_coding	1	+	9868332	9971070
ENSMUSG00000089713	Gm16564	lncRNA	1	-	178726147	178745179
ENSMUSG00000079470	Utp14b	protein_coding	1	+	78635755	78649229
ENSMUSG00000099377	Gm6159	processed_pseudogene	1	-	78760853	78762576
ENSMUSG00000099706	Gm29536	lncRNA	1	-	78769340	79202228
ENSMUSG00000047330	Kcne4	protein_coding	1	+	78794475	78797745
ENSMUSG00000101324	Gm29187	lncRNA	1	+	78798975	78800369
ENSMUSG00000072978	Gm5830	processed_pseudogene	1	-	78945354	78945796
ENSMUSG00000046334	Gm6195	processed_pseudogene	1	-	9872422	9872778
ENSMUSG00002075801	Gm54812	snRNA	1	-	9904723	9904827
ENSMUSG00000050711	Scg2	protein_coding	1	-	79412386	79417837
ENSMUSG00000099562	Gm19027	processed_pseudogene	1	-	79483520	79484874
ENSMUSG00000077782	Gm24160	snoRNA	1	-	79491456	79491581
ENSMUSG00000055067	Smyd3	protein_coding	1	-	178779525	179345606
ENSMUSG00000054702	Ap1s3	protein_coding	1	-	79584593	79649689
ENSMUSG00000096474	Gm5561	processed_pseudogene	1	-	179347943	179348422
ENSMUSG00000102235	Gm37886	TEC	1	-	79597239	79598751
ENSMUSG00000026492	Tfb2m	protein_coding	1	-	179355620	179373832
ENSMUSG00000082395	Gm15480	processed_pseudogene	1	+	179365982	179366500
ENSMUSG00000038949	Cnst	protein_coding	1	+	179373935	179455043
ENSMUSG00000026043	Col3a1	protein_coding	1	+	45350698	45388866
ENSMUSG00000046101	Mcmdc2	protein_coding	1	+	9978863	10012310
ENSMUSG00002074901	Gm54819	miRNA	1	+	45350833	45350973
ENSMUSG00000093178	Snord87	snoRNA	1	-	10012688	10012774
ENSMUSG00000099032	Tcf24	protein_coding	1	-	10030388	10038157
ENSMUSG00000104025	E330040D14Rik	TEC	1	+	10037539	10038912
ENSMUSG00000038936	Sccpdh	protein_coding	1	+	179495775	179514754
ENSMUSG00000042772	Smg7	protein_coding	1	-	152712746	152778397
ENSMUSG00000100394	Gm28791	lncRNA	1	-	152754271	152756049
ENSMUSG00000103840	1700040K01Rik	TEC	1	+	152812355	152812792
ENSMUSG00000087236	Kif28	protein_coding	1	-	179522862	179572836
ENSMUSG00000100702	Gm8976	processed_pseudogene	1	-	152825146	152825848
ENSMUSG00000026042	Col5a2	protein_coding	1	-	45413481	45542442
ENSMUSG00000104476	Gm38211	TEC	1	-	45524996	45532212
ENSMUSG00000073643	Wdfy1	protein_coding	1	-	79679979	79753860
ENSMUSG00000104497	Gm10555	TEC	1	+	79740434	79742224
ENSMUSG00000025916	Ppp1r42	protein_coding	1	-	10038849	10079361
ENSMUSG00000087199	Gm15818	lncRNA	1	+	10052612	10062591
ENSMUSG00000026248	Mrpl44	protein_coding	1	+	79753735	79759162
ENSMUSG00000119658	Gm24674	snRNA	1	-	10080039	10080142
ENSMUSG00000026249	Serpine2	protein_coding	1	-	79771914	79838897
ENSMUSG00000042751	Nmnat2	protein_coding	1	+	152830744	152995007
ENSMUSG00000067106	Gm5529	processed_pseudogene	1	-	79900253	79901143
ENSMUSG00000099969	Gm28960	lncRNA	1	-	152942227	152965253
ENSMUSG00000100397	Gm28071	processed_pseudogene	1	+	79935297	79935774
ENSMUSG00000099753	Gm28058	processed_pseudogene	1	+	80076339	80076602
ENSMUSG00000118883	Gm23934	snRNA	1	+	80113183	80113289
ENSMUSG00000102518	Gm38339	TEC	1	-	80124690	80126518
ENSMUSG00000099552	9830004L10Rik	lncRNA	1	+	80162436	80169790
ENSMUSG00000043230	Fam124b	protein_coding	1	-	80176423	80196190
ENSMUSG00000103404	Gm37932	TEC	1	-	80232748	80233914
ENSMUSG00000026491	Ahctf1	protein_coding	1	-	179572459	179631245
ENSMUSG00000073486	Gm10518	lncRNA	1	+	179630941	179632241
ENSMUSG00000025917	Cops5	protein_coding	1	-	10094826	10108393
ENSMUSG00000104418	Gm37070	processed_pseudogene	1	-	179752517	179752976
ENSMUSG00000026479	Lamc2	protein_coding	1	-	152998502	153062193
ENSMUSG00000004364	Cul3	protein_coding	1	-	80242640	80318197
ENSMUSG00000103076	Gm37902	TEC	1	-	80252448	80254130
ENSMUSG00000103525	Gm37262	TEC	1	-	80303894	80305711
ENSMUSG00000101722	Gm29125	lncRNA	1	+	80360539	80363968
ENSMUSG00000090637	Gm6189	processed_pseudogene	1	-	80360821	80362902
ENSMUSG00000026478	Lamc1	protein_coding	1	-	153094668	153208532
ENSMUSG00000110100	Gm45261	protein_coding	1	-	80427314	80439165
ENSMUSG00000103818	Gm38009	TEC	1	-	153159596	153162936
ENSMUSG00000079138	Gm8818	processed_pseudogene	1	+	153181178	153182224
ENSMUSG00000042708	Shcbp1l	protein_coding	1	+	153300908	153328320
ENSMUSG00000064435	Gm25588	snoRNA	1	+	153315825	153315964
ENSMUSG00000103543	Gm37669	TEC	1	+	153319227	153320046
ENSMUSG00000099432	Gm18849	unprocessed_pseudogene	1	+	46095470	46098146
ENSMUSG00000041144	Dnah7b	protein_coding	1	+	46105475	46412710
ENSMUSG00000119743	n-R5s211	rRNA	1	+	46413357	46413475
ENSMUSG00000042699	Dhx9	protein_coding	1	-	153331504	153363406
ENSMUSG00000101262	Gm8326	processed_pseudogene	1	+	46453662	46456092
ENSMUSG00000042684	Npl	protein_coding	1	-	153378761	153425791
ENSMUSG00000099858	Gm6652	processed_pseudogene	1	-	153495350	153496419
ENSMUSG00000101337	Dnah7c	protein_coding	1	+	46464752	46846636
ENSMUSG00000025986	Slc39a10	protein_coding	1	-	46846704	46932012
ENSMUSG00000100213	Gm28151	lncRNA	1	-	46888689	46889639
ENSMUSG00000103129	Gm37393	TEC	1	-	46916363	46920232
ENSMUSG00000100160	Gm28527	processed_pseudogene	1	-	46935743	46936039
ENSMUSG00000101921	Gm28825	processed_pseudogene	1	+	47106948	47107185
ENSMUSG00000101447	Gm28826	lncRNA	1	+	47192621	47228231
ENSMUSG00000081185	Gm4852	processed_pseudogene	1	-	47404803	47405531
ENSMUSG00000103246	Gm38090	TEC	1	-	47472983	47474924
ENSMUSG00000098876	Mir6350	miRNA	1	-	47506180	47506284
ENSMUSG00000100530	Gm18117	processed_pseudogene	1	+	47518027	47519357
ENSMUSG00000104067	Gm37196	TEC	1	+	47645155	47646060
ENSMUSG00000100033	Gm8337	processed_pseudogene	1	+	47696852	47698789
ENSMUSG00002075213	Gm54870	miRNA	1	-	47788438	47788558
ENSMUSG00002076633	Gm54871	misc_RNA	1	-	47790458	47790727
ENSMUSG00000101996	Gm19206	processed_pseudogene	1	-	47954148	47954974
ENSMUSG00000096973	Gm5974	processed_pseudogene	1	-	48353025	48354010
ENSMUSG00000064943	Gm23240	snRNA	1	-	48501332	48501452
ENSMUSG00000100866	Gm28830	processed_pseudogene	1	+	48566798	48567010
ENSMUSG00000101721	Gm8354	processed_pseudogene	1	-	48770738	48772249
ENSMUSG00000099376	Gm19124	processed_pseudogene	1	+	48822822	48823752
ENSMUSG00000097883	Gm8357	processed_pseudogene	1	+	48920872	48921882
ENSMUSG00002076043	Gm54872	miRNA	1	+	49134603	49135044
ENSMUSG00000099698	Gm28740	processed_pseudogene	1	-	49212319	49212533
ENSMUSG00000056763	Cspp1	protein_coding	1	+	10108212	10206993
ENSMUSG00000099454	Gm8367	processed_pseudogene	1	+	49275411	49276403
ENSMUSG00000051616	C230029F24Rik	lncRNA	1	+	49283775	49379602
ENSMUSG00000099627	Gm6757	processed_pseudogene	1	-	49438183	49439888
ENSMUSG00000099577	Gm3605	processed_pseudogene	1	+	49537712	49538151
ENSMUSG00000099882	Gm28388	processed_pseudogene	1	-	49618309	49618745
ENSMUSG00000101760	Gm8384	processed_pseudogene	1	+	50095941	50097649
ENSMUSG00000102356	1700047N06Rik	TEC	1	-	10127250	10128169
ENSMUSG00000099608	4933411E06Rik	lncRNA	1	+	50146629	50148121
ENSMUSG00000099864	Gm8391	processed_pseudogene	1	-	50216725	50217450
ENSMUSG00002075839	Gm54883	misc_RNA	1	-	50261548	50261679
ENSMUSG00000100451	Gm29665	lncRNA	1	-	50436711	50437238
ENSMUSG00000099941	Gm20118	processed_pseudogene	1	+	50572189	50572350
ENSMUSG00002075589	Gm54885	misc_RNA	1	+	50598921	50599234
ENSMUSG00000100816	Gm28321	lncRNA	1	+	50854534	50856860
ENSMUSG00000042671	Rgs8	protein_coding	1	+	153528771	153576069
ENSMUSG00000100945	Gm29529	lncRNA	1	-	153566137	153568402
ENSMUSG00000102404	5530400K19Rik	TEC	1	+	153590400	153592315
ENSMUSG00000100334	C230024C17Rik	lncRNA	1	-	153596986	153613575
ENSMUSG00000026109	Tmeff2	protein_coding	1	+	50939806	51226429
ENSMUSG00000026475	Rgs16	protein_coding	1	+	153616095	153621214
ENSMUSG00000099568	Gm28513	lncRNA	1	-	153619298	153625070
ENSMUSG00000100671	Gm28322	lncRNA	1	+	50943603	50945077
ENSMUSG00002075527	Gm54895	miRNA	1	+	51054472	51054572
ENSMUSG00000101242	Gm28319	lncRNA	1	-	51177440	51180381
ENSMUSG00000099924	Gm28320	lncRNA	1	+	51187468	51189740
ENSMUSG00000099625	Gm29325	lncRNA	1	+	51234380	51236907
ENSMUSG00000101799	9330175M20Rik	lncRNA	1	-	51257545	51372938
ENSMUSG00000045954	Cavin2	protein_coding	1	+	51328285	51342119
ENSMUSG00000099741	Gm5253	processed_pseudogene	1	-	51356687	51357711
ENSMUSG00000101702	1700072G22Rik	lncRNA	1	-	51497091	51498090
ENSMUSG00000066800	Rnasel	protein_coding	1	+	153625172	153639967
ENSMUSG00000100183	Gm28512	lncRNA	1	+	153626428	153627293
ENSMUSG00000067851	Arfgef1	protein_coding	1	-	10207796	10302895
ENSMUSG00002076532	Gm54899	misc_RNA	1	+	10236764	10237003
ENSMUSG00000102556	Gm37569	TEC	1	-	10267306	10269027
ENSMUSG00000038608	Dock10	protein_coding	1	-	80478790	80736244
ENSMUSG00000042501	Cpa6	protein_coding	1	-	10394945	10790170
ENSMUSG00000103810	Gm38005	TEC	1	-	10519470	10522214
ENSMUSG00000083422	Gm15604	processed_pseudogene	1	-	10624323	10625778
ENSMUSG00000119312	Gm25253	snRNA	1	-	10625779	10625885
ENSMUSG00000042641	Rgsl1	protein_coding	1	-	153655127	153719888
ENSMUSG00000081417	Gm15603	processed_pseudogene	1	+	10765348	10765839
ENSMUSG00000103448	Gm37133	TEC	1	-	10852681	10854602
ENSMUSG00000103192	Gm37645	TEC	1	-	80643726	80647281
ENSMUSG00000104488	Gm38062	TEC	1	-	80706526	80708381
ENSMUSG00000100212	Gm5522	processed_pseudogene	1	+	10875505	10876746
ENSMUSG00000102721	A630081D01Rik	TEC	1	-	80724939	80726771
ENSMUSG00000100648	Gm28659	processed_pseudogene	1	+	10938912	10939670
ENSMUSG00002076499	Gm54912	snoRNA	1	+	10991894	10991984
