Gene	Name	Type	Chr	Strand	Start	End
ENSG05220038415	RN7SL583P	misc_RNA	1	-	88321329	88321615
ENSG05220038416	ENSG05220038416	snoRNA	1	+	84117769	84117905
ENSG05220038418	ENSG05220038418	processed_pseudogene	1	+	88766762	88767236
ENSG05220038422	PKN2	protein_coding	1	+	88527637	88679643
ENSG05220038424	SH3GLB1	protein_coding	1	+	86544599	86588211
ENSG05220038425	ENSG05220038425	processed_pseudogene	1	-	88341810	88342177
ENSG05220038427	ENSG05220038427	lncRNA	1	+	89042092	89050403
ENSG05220038429	Y_RNA	misc_RNA	1	+	85105417	85105523
ENSG05220038430	ENSG05220038430	lncRNA	1	-	86662278	86674902
ENSG05220038431	ENSG05220038431	lncRNA	1	+	83878965	83905471
ENSG05220038433	PKN2-AS1	lncRNA	1	-	87464027	88528619
ENSG05220038439	ODF2L	protein_coding	1	-	86186857	86236363
ENSG05220038446	ENSG05220038446	processed_pseudogene	1	+	86886476	86887301
ENSG05220038447	GBP3	protein_coding	1	-	88850077	88866299
ENSG05220038450	ENSG05220038450	transcribed_unitary_pseudogene	1	+	84185153	84190414
ENSG05220038452	COL24A1	protein_coding	1	-	85570083	85997468
ENSG05220038454	CLCA4	protein_coding	1	+	86387119	86420795
ENSG05220038460	CLCA1	protein_coding	1	+	86308384	86340288
ENSG05220038463	ENSG05220038463	TEC	1	-	84993098	84994814
ENSG05220038464	Y_RNA	misc_RNA	1	-	88863644	88863763
ENSG05220038466	CTBS	protein_coding	1	-	84389989	84414854
ENSG05220038474	PRKACB	protein_coding	1	+	83918517	84078964
ENSG05220038480	TTLL7	protein_coding	1	-	83705371	83839547
ENSG05220038502	CLCA4-AS1	lncRNA	1	-	86411222	86536343
ENSG05220038513	GBP1	protein_coding	1	-	88895263	88908723
ENSG05220038515	ENSG05220038515	misc_RNA	1	+	88363495	88363665
ENSG05220038516	ENSG05220038516	lncRNA	1	+	88306444	88307588
ENSG05220038517	UOX	transcribed_unitary_pseudogene	1	-	84204181	84238295
ENSG05220038519	SYDE2	protein_coding	1	-	84998013	85042131
ENSG05220038520	LMO4	protein_coding	1	+	87171579	87191625
ENSG05220038522	SELENOF	protein_coding	1	-	86703158	86754982
ENSG05220038529	DNAI3	protein_coding	1	+	84839783	84973727
ENSG05220038533	ENSG05220038533	processed_pseudogene	1	+	85870391	85871126
ENSG05220038534	ENSG05220038534	lncRNA	1	-	85323095	85419069
ENSG05220038535	LINC02801	lncRNA	1	+	87055387	87107443
ENSG05220038536	LINC01361	lncRNA	1	-	82811148	82826532
ENSG05220038537	ENSG05220038537	processed_pseudogene	1	+	86624941	86625495
ENSG05220038538	ELOCP19	processed_pseudogene	1	+	88672490	88672807
ENSG05220038539	CLCA3P	transcribed_unprocessed_pseudogene	1	+	86474298	86495405
ENSG05220038541	SPATA1	protein_coding	1	+	84346681	84406568
ENSG05220038542	RNU6-125P	snRNA	1	+	88660192	88660298
ENSG05220038543	GNG5	protein_coding	1	-	84338707	84346962
ENSG05220038544	DDAH1	protein_coding	1	-	85159286	85419182
ENSG05220038546	ENSG05220038546	lncRNA	1	-	86772781	86775474
ENSG05220038547	ENSG05220038547	lncRNA	1	+	85308110	85308475
ENSG05220038549	TXN2P1	processed_pseudogene	1	+	83926195	83926687
ENSG05220038550	ENSG05220038550	processed_pseudogene	1	-	86885536	86886472
ENSG05220038553	GTF2B	protein_coding	1	-	88696014	88735344
ENSG05220038555	MIR4423	miRNA	1	+	84974383	84974462
ENSG05220038556	ENSG05220038556	processed_pseudogene	1	-	83856262	83858768
ENSG05220038557	ENSG05220038557	lncRNA	1	+	88971799	88988067
ENSG05220038559	GBP7	protein_coding	1	-	88975111	89019388
ENSG05220038562	LINC02795	lncRNA	1	-	86128740	86160745
ENSG05220038565	RPF1	protein_coding	1	+	84319642	84338734
ENSG05220038566	ENSG05220038566	lncRNA	1	-	85419319	85419561
ENSG05220038567	ENSG05220038567	lncRNA	1	+	84414503	84423994
ENSG05220038568	RBMXL1	protein_coding	1	-	88822848	88836357
ENSG05220038570	NEDD8P1	processed_pseudogene	1	+	84084800	84085043
ENSG05220038571	ENSG05220038571	processed_pseudogene	1	+	88156340	88156497
ENSG05220038572	LINC01555	lncRNA	1	-	84468605	84475402
ENSG05220038573	Y_RNA	misc_RNA	1	-	85275984	85276093
ENSG05220038574	TTLL7-IT1	lncRNA	1	-	83819515	83824697
ENSG05220038575	CLCA4-AS1	lncRNA	1	-	86543534	86544491
ENSG05220038576	ENSG05220038576	processed_pseudogene	1	-	86244198	86244888
ENSG05220038345	GBP4	protein_coding	1	-	89024523	89042320
ENSG05220037146	LIN28A	protein_coding	1	+	26248852	26267747
ENSG05220037147	TMEM222	protein_coding	1	+	27163379	27177637
ENSG05220037148	KDF1	protein_coding	1	-	26787618	26798523
ENSG05220037149	ENSG05220037149	lncRNA	1	+	25884066	25886501
ENSG05220037150	ENSG05220037150	processed_pseudogene	1	+	26485411	26485645
ENSG05220037151	RN7SL679P	misc_RNA	1	-	26431197	26431500
ENSG05220037152	FAM110D	protein_coding	1	+	25996509	26001393
ENSG05220037153	SNRPEP7	processed_pseudogene	1	+	27052489	27052708
ENSG05220037154	MTFR1L	protein_coding	1	+	25656079	25670377
ENSG05220037155	ENSG05220037155	lncRNA	1	-	25669346	25669567
ENSG05220037156	Y_RNA	misc_RNA	1	-	27096684	27096787
ENSG05220037157	NR0B2	protein_coding	1	-	26749553	26752039
ENSG05220037158	ENSG05220037158	scaRNA	1	+	25843414	25843538
ENSG05220037159	PDIK1L	protein_coding	1	+	25948598	25962987
ENSG05220037160	DHDDS-AS1	lncRNA	1	-	26300777	26306033
ENSG05220037161	ENSG05220037161	unprocessed_pseudogene	1	+	26655255	26655431
ENSG05220037162	ZNF683	protein_coding	1	-	26199081	26211969
ENSG05220037163	TRNP1	protein_coding	1	+	26831757	26838951
ENSG05220037164	LDLRAP1	protein_coding	1	+	25380944	25406224
ENSG05220037165	ENSG05220037165	processed_pseudogene	1	-	26478341	26478578
ENSG05220037166	ENSG05220037166	processed_pseudogene	1	-	26100517	26100874
ENSG05220037167	SELENON	protein_coding	1	+	25637681	25655660
ENSG05220037170	ENSG05220037170	unprocessed_pseudogene	1	-	25172722	25173758
ENSG05220037172	RNU7-29P	snRNA	1	-	26440320	26440383
ENSG05220037173	CD164L2	protein_coding	1	-	27220486	27224643
ENSG05220037188	STMN1	protein_coding	1	-	25721611	25744421
ENSG05220037194	ACTG1P20	processed_pseudogene	1	+	27166563	27167030
ENSG05220037196	GPATCH3	protein_coding	1	-	26728551	26738530
ENSG05220037201	SLC9A1	protein_coding	1	-	26938788	27008165
ENSG05220037210	ENSG05220037210	lncRNA	1	+	25418814	25427691
ENSG05220037212	MIR3917	miRNA	1	-	25743792	25743884
ENSG05220037213	OSTCP2	processed_pseudogene	1	-	26823950	26824393
ENSG05220037216	ZNF593OS	protein_coding	1	-	26006947	26009262
ENSG05220037221	SLC30A2	protein_coding	1	-	25874654	25883519
ENSG05220037223	SNRPFP2	processed_pseudogene	1	+	25724790	25725040
ENSG05220037224	CD52	protein_coding	1	+	26155410	26157976
ENSG05220037226	AUNIP	protein_coding	1	-	25669346	25696891
ENSG05220037228	CHCHD3P3	processed_pseudogene	1	-	27042060	27042699
ENSG05220037229	Y_RNA	misc_RNA	1	-	26431896	26431997
ENSG05220037230	ENSG05220037230	lncRNA	1	-	25481885	25496452
ENSG05220037231	SFN	protein_coding	1	+	26701224	26702527
ENSG05220037233	ENSG05220037233	processed_pseudogene	1	+	27152475	27153073
ENSG05220037235	ENSG05220037235	lncRNA	1	+	25697046	25700851
ENSG05220037236	ENSG05220037236	processed_pseudogene	1	-	26292676	26293210
ENSG05220037239	MAN1C1	protein_coding	1	+	25454132	25623686
ENSG05220037247	ZNF593	protein_coding	1	+	26007339	26008304
ENSG05220037250	PAFAH2	protein_coding	1	-	25797193	25835519
ENSG05220037253	MACO1	protein_coding	1	+	25267201	25336586
ENSG05220037255	TRIM63	protein_coding	1	-	25888705	25905842
ENSG05220037257	RN7SL165P	misc_RNA	1	+	26652777	26653067
ENSG05220037258	ENSG05220037258	processed_pseudogene	1	+	25726400	25726539
ENSG05220037273	ENSG05220037273	lncRNA	1	-	27070325	27075572
ENSG05220037276	CNKSR1	protein_coding	1	+	26014914	26027308
ENSG05220037282	ENSG05220037282	lncRNA	1	-	26530076	26532075
ENSG05220037284	TMEM50A	protein_coding	1	+	25174610	25198659
ENSG05220037294	RHCE	protein_coding	1	-	25198547	25266535
ENSG05220037309	TENT5B	protein_coding	1	-	26843086	26850914
ENSG05220037310	ENSG05220037310	lncRNA	1	+	25084099	25084583
ENSG05220037311	ENSG05220037311	lncRNA	1	+	26714197	26716309
ENSG05220037312	ENSG05220037312	processed_pseudogene	1	+	25235008	25235485
ENSG05220037314	DPPA2P2	processed_pseudogene	1	-	26357306	26358202
ENSG05220037317	FCN3	protein_coding	1	-	27210348	27216135
ENSG05220037319	NPM1P39	processed_pseudogene	1	+	27048158	27049018
ENSG05220037322	CEP85	protein_coding	1	+	26071641	26116296
ENSG05220037326	EXTL1	protein_coding	1	+	25857283	25873866
ENSG05220037327	RNU6-110P	snRNA	1	+	25801622	25801725
ENSG05220037330	RHD	protein_coding	1	+	25108664	25166740
ENSG05220037337	PAQR7	protein_coding	1	-	25698915	25713139
ENSG05220037338	MIR1976	miRNA	1	+	26392495	26392546
ENSG05220037339	NUDC	protein_coding	1	+	26738301	26784927
ENSG05220037343	MAP3K6	protein_coding	1	-	27195306	27208199
ENSG05220037346	ENSG05220037346	lncRNA	1	-	25654184	25658238
ENSG05220037347	RPL32P6	processed_pseudogene	1	+	26821681	26822077
ENSG05220037350	ENSG05220037350	unprocessed_pseudogene	1	-	25102373	25103407
ENSG05220037351	ENSG05220037351	processed_pseudogene	1	+	27017938	27018465
ENSG05220037352	ENSG05220037352	lncRNA	1	+	25075751	25076510
ENSG05220037357	ARID1A	protein_coding	1	+	26531180	26620059
ENSG05220037363	ENSG05220037363	unprocessed_pseudogene	1	-	26056020	26057914
ENSG05220037365	WDTC1	protein_coding	1	+	27075852	27149870
ENSG05220037367	GPN2	protein_coding	1	-	26714196	26728346
ENSG05220037369	SH3BGRL3	protein_coding	1	+	26117570	26119006
ENSG05220037372	CATSPER4	protein_coding	1	+	26027985	26040395
ENSG05220037373	SYTL1	protein_coding	1	+	27183258	27195176
ENSG05220037375	ZPLD2P	transcribed_unprocessed_pseudogene	1	+	26047185	26067279
ENSG05220037377	RPS6KA1	protein_coding	1	+	26367713	26412984
ENSG05220037388	PIGV	protein_coding	1	+	26625009	26638614
ENSG05220037393	RNU6-48P	snRNA	1	+	27166453	27166559
ENSG05220037395	CRYBG2	protein_coding	1	-	26159151	26197527
ENSG05220037397	RPL12P13	unprocessed_pseudogene	1	+	26818222	26819032
ENSG05220037398	SDHDP6	processed_pseudogene	1	-	25130429	25130908
ENSG05220037399	ZDHHC18	protein_coding	1	+	26664755	26695679
ENSG05220037400	ENSG05220037400	scaRNA	1	+	25843624	25843707
ENSG05220037407	RSRP1	protein_coding	1	-	25078510	25174506
ENSG05220037409	Y_RNA	misc_RNA	1	+	25714927	25715036
ENSG05220037410	ENSG05220037410	processed_pseudogene	1	+	26164138	26164483
ENSG05220037411	C1orf232	protein_coding	1	-	26001532	26006394
ENSG05220037412	DHDDS	protein_coding	1	+	26270297	26309325
ENSG05220037415	HMGN2	protein_coding	1	+	26310460	26314663
ENSG05220062564	ENSG05220062564	snoRNA	1	+	26483635	26483738
ENSG05220037261	UBXN11	protein_coding	1	-	26118812	26155815
ENSG05220019662	RPL21P24	processed_pseudogene	1	-	47376344	47376791
ENSG05220019663	ENSG05220019663	lncRNA	1	+	50131532	50137957
ENSG05220019664	CYP4A27P	unprocessed_pseudogene	1	-	46878295	46878484
ENSG05220019665	TAL1	protein_coding	1	-	47094699	47110627
ENSG05220019666	SKINT1L	transcribed_unprocessed_pseudogene	1	-	47974958	48061271
ENSG05220019667	ATPAF1	protein_coding	1	-	46509960	46551107
ENSG05220019668	ENSG05220019668	processed_pseudogene	1	+	51252182	51253136
ENSG05220019669	ENSG05220019669	lncRNA	1	+	48051817	48085579
ENSG05220019670	CMPK1	protein_coding	1	+	47212232	47257303
ENSG05220019671	TTC39A-AS1	lncRNA	1	+	51209553	51215223
ENSG05220019672	MTND1P34	transcribed_processed_pseudogene	1	-	47041934	47043344
ENSG05220019673	AGBL4-IT1	lncRNA	1	-	49252900	49350784
ENSG05220019674	ENSG05220019674	TEC	1	+	47980917	47983583
ENSG05220019675	ZNF859P	unprocessed_pseudogene	1	+	49720499	49725080
ENSG05220019676	BEND5	protein_coding	1	-	48606260	48655720
ENSG05220019677	ENSG05220019677	lncRNA	1	+	50303214	50304922
ENSG05220019678	FAF1-AS1	lncRNA	1	+	50341081	50350762
ENSG05220019679	MIR6500	miRNA	1	+	50939907	50939992
ENSG05220019680	MRPS6P2	processed_pseudogene	1	+	50726332	50726701
ENSG05220019681	RNU6-877P	snRNA	1	+	51262222	51262328
ENSG05220019682	ENSG05220019682	processed_pseudogene	1	-	47362146	47362610
ENSG05220019683	ELAVL4	protein_coding	1	+	49902982	50082746
ENSG05220019684	FOXE3	protein_coding	1	+	47294744	47296511
ENSG05220019685	ATP6V0E1P4	processed_pseudogene	1	+	47428663	47429218
ENSG05220019686	TTC39A	protein_coding	1	-	51167163	51225015
ENSG05220019687	MOB3C	protein_coding	1	-	46484942	46494110
ENSG05220019688	CFL1P2	processed_pseudogene	1	-	51037687	51038370
ENSG05220019689	LINC02808	lncRNA	1	-	50108619	50200140
ENSG05220019690	ENSG05220019690	lncRNA	1	-	47957656	47961057
ENSG05220019691	TUBAP8	processed_pseudogene	1	+	46769052	46770243
ENSG05220019692	C1orf185	protein_coding	1	+	50982110	51027985
ENSG05220019693	ENSG05220019693	processed_pseudogene	1	+	50205075	50205951
ENSG05220019694	AGBL4	protein_coding	1	-	48411612	49902907
ENSG05220019695	ENSG05220019695	lncRNA	1	+	51341642	51343336
ENSG05220019696	LINC02794	lncRNA	1	+	47929557	47970604
ENSG05220019697	MIR4421	miRNA	1	+	50939726	50939794
ENSG05220019698	CYP4A22-AS1	lncRNA	1	-	46974108	47056787
ENSG05220019699	ENSG05220019699	processed_pseudogene	1	-	48376031	48376504
ENSG05220019700	CYP4Z2P	transcribed_unprocessed_pseudogene	1	-	46720492	46777853
ENSG05220019701	LINC01738	lncRNA	1	+	47567060	47582628
ENSG05220019702	ENSG05220019702	lncRNA	1	+	48804762	48815479
ENSG05220019703	TRABD2B	protein_coding	1	-	47639427	47876248
ENSG05220019704	PDZK1IP1	protein_coding	1	-	47061100	47069454
ENSG05220019705	LINC01389	lncRNA	1	-	47259390	47286936
ENSG05220019706	RNU6-1281P	snRNA	1	-	51418528	51418632
ENSG05220019707	CYP4A44P	unprocessed_pseudogene	1	-	46880392	46880545
ENSG05220019708	FOXD2-AS1	lncRNA	1	-	47310585	47313093
ENSG05220019709	RNU6-1026P	snRNA	1	+	50462335	50462442
ENSG05220019710	ENSG05220019710	lncRNA	1	-	47640031	47644446
ENSG05220019711	LINC00853	lncRNA	1	+	47056766	47057857
ENSG05220019712	ENSG05220019712	lncRNA	1	-	48106610	48108283
ENSG05220019713	CYP4Z1	protein_coding	1	+	46944669	46995763
ENSG05220019714	STIL	protein_coding	1	-	47128555	47193334
ENSG05220019715	SPATA6	protein_coding	1	-	48174128	48350878
ENSG05220019716	TEX38	protein_coding	1	+	46546095	46550834
ENSG05220019717	CYP4A26P	unprocessed_pseudogene	1	-	46845090	46845285
ENSG05220019718	EFCAB14-AS1	lncRNA	1	+	46551276	46569329
ENSG05220019719	CYP46A4P	processed_pseudogene	1	+	47968231	47968497
ENSG05220019720	HMGB1P45	processed_pseudogene	1	-	50278418	50279366
ENSG05220019721	CDKN2C	protein_coding	1	+	50840624	50854515
ENSG05220019722	ENSG05220019722	lncRNA	1	+	47104204	47109157
ENSG05220019723	SLC5A9	protein_coding	1	+	48101407	48127391
ENSG05220019724	ENSG05220019724	processed_pseudogene	1	+	46619565	46620369
ENSG05220019725	CYP4A22	protein_coding	1	+	47014879	47027179
ENSG05220019726	ENSG05220019726	processed_pseudogene	1	+	49993893	49994238
ENSG05220019727	MTND2P29	processed_pseudogene	1	+	49896045	49896456
ENSG05220019728	RNF11	protein_coding	1	+	51116181	51153351
ENSG05220019729	LINC01562	lncRNA	1	-	51075002	51115004
ENSG05220019730	ENSG05220019730	lncRNA	1	+	48904324	49066313
ENSG05220019731	DMRTA2	protein_coding	1	-	50297157	50303048
ENSG05220019732	ELAVL4-AS1	lncRNA	1	-	50053280	50054836
ENSG05220019733	EPS15	protein_coding	1	-	51234162	51399178
ENSG05220019734	ENSG05220019734	processed_pseudogene	1	-	51130509	51131378
ENSG05220019735	CYP4A43P	unprocessed_pseudogene	1	-	46871789	46871909
ENSG05220019736	FAF1	protein_coding	1	-	50316640	50840146
ENSG05220019737	ENSG05220019737	lncRNA	1	+	48431759	48436871
ENSG05220019738	PHBP12	processed_pseudogene	1	+	50660256	50661066
ENSG05220019739	RNU4-61P	snRNA	1	+	48326640	48326746
ENSG05220019740	ENSG05220019740	lncRNA	1	-	50085058	50102088
ENSG05220019741	ENSG05220019741	lncRNA	1	-	51144821	51145978
ENSG05220019742	CYP4A11	protein_coding	1	-	46806586	46818893
ENSG05220019743	OSBPL9	protein_coding	1	+	51457095	51678719
ENSG05220019744	CYP4X1	protein_coding	1	+	46901072	46928173
ENSG05220019745	TUBAP9	processed_pseudogene	1	-	46952210	46953411
ENSG05220019746	ENSG05220019746	processed_pseudogene	1	+	48314682	48315938
ENSG05220019747	ENSG05220019747	processed_pseudogene	1	-	49569934	49570195
ENSG05220019748	RNU6-723P	snRNA	1	+	48222956	48223062
ENSG05220019749	ENSG05220019749	lncRNA	1	+	47696952	47699123
ENSG05220019750	ENSG05220019750	TEC	1	+	49873279	49875179
ENSG05220019751	ENSG05220019751	TEC	1	-	48140975	48141924
ENSG05220019752	CYP4B1	protein_coding	1	+	46635070	46696812
ENSG05220019753	EFCAB14	protein_coding	1	-	46551899	46596383
ENSG05220019754	FCF1P6	processed_pseudogene	1	-	50285024	50285618
ENSG05220019755	NENFP1	processed_pseudogene	1	-	46543150	46543615
ENSG05220019756	FOXD2	protein_coding	1	+	47316511	47319162
ENSG05220019757	CALR4P	transcribed_unitary_pseudogene	1	-	51441770	51474811
ENSG05220019758	EPS15-AS1	lncRNA	1	+	51398221	51441533
ENSG05220019759	AGBL4-AS1	lncRNA	1	+	49136092	49147973
ENSG05220019760	PPP1R8P1	processed_pseudogene	1	-	48203847	48204890
ENSG05220019761	Y_RNA	misc_RNA	1	+	50987121	50987230
ENSG05220018886	FAM183A	protein_coding	1	+	43015639	43026887
ENSG05220018895	ENSG05220018895	protein_coding	1	-	41455946	41499452
ENSG05220018896	KDM4A	protein_coding	1	+	43520658	43576010
ENSG05220018898	CITED4	protein_coding	1	-	40730294	40731603
ENSG05220018899	HYI	protein_coding	1	-	43321242	43324242
ENSG05220018900	ENSG05220018900	unprocessed_pseudogene	1	-	40807472	40809131
ENSG05220018901	ENSG05220018901	processed_pseudogene	1	-	42757067	42759247
ENSG05220018902	MIR6735	miRNA	1	+	43318792	43318864
ENSG05220018903	PPCS	protein_coding	1	+	42326479	42343747
ENSG05220018904	U6	snRNA	1	-	42894019	42894107
ENSG05220018905	GUCA2B	protein_coding	1	+	42024047	42026457
ENSG05220018906	ENSG05220018906	lncRNA	1	+	41111215	41208054
ENSG05220018907	HYI-AS1	lncRNA	1	+	43324180	43327255
ENSG05220018908	ENSG05220018908	processed_pseudogene	1	+	43614272	43614542
ENSG05220018910	ARTN	protein_coding	1	+	43804397	43808317
ENSG05220018912	YBX1	protein_coding	1	+	42552913	42574300
ENSG05220018913	RN7SL326P	misc_RNA	1	+	40674081	40674376
ENSG05220018914	MIR6734	miRNA	1	-	43235196	43235263
ENSG05220018915	SLFNL1-AS1	lncRNA	1	+	40883954	40913256
ENSG05220018916	KCNQ4	protein_coding	1	+	40653010	40709692
ENSG05220018918	FOXO6-AS1	lncRNA	1	-	41244479	41245120
ENSG05220018919	MIR30C1	miRNA	1	+	40626494	40626582
ENSG05220018921	P3H1	protein_coding	1	-	42616825	42637574
ENSG05220018928	MED8-AS1	lncRNA	1	+	43255663	43259705
ENSG05220018929	TMEM269	protein_coding	1	+	42655497	42687100
ENSG05220018930	EDN2	protein_coding	1	-	41348976	41354889
ENSG05220018933	MIR6733	miRNA	1	-	43042148	43042208
ENSG05220018934	ERMAP	protein_coding	1	+	42687603	42715472
ENSG05220018935	RNU6-536P	snRNA	1	+	42439514	42439620
ENSG05220018942	SLFNL1	protein_coding	1	-	40884961	40892601
ENSG05220018948	ENSG05220018948	lncRNA	1	-	43815450	43817632
ENSG05220018949	ATP6V0CP4	processed_pseudogene	1	-	42822672	42823111
ENSG05220018951	U6	snRNA	1	+	43586959	43587048
ENSG05220018952	ENSG05220018952	lncRNA	1	-	42646305	42647282
ENSG05220018954	MED8	protein_coding	1	-	43254467	43260358
ENSG05220018959	CDC20	protein_coding	1	+	43229529	43233751
ENSG05220018961	HIVEP3	protein_coding	1	-	41376570	41906493
ENSG05220018964	SHMT1P1	processed_pseudogene	1	-	43721126	43722437
ENSG05220018965	ST3GAL3-AS1	lncRNA	1	-	43579884	43597838
ENSG05220018968	ZNF691	protein_coding	1	+	42717054	42722959
ENSG05220018980	PPIH	protein_coding	1	+	42528830	42547253
ENSG05220018983	KDM4A-AS1	lncRNA	1	-	43555618	43578630
ENSG05220018984	ENSG05220018984	lncRNA	1	-	43225231	43229206
ENSG05220018985	ENSG05220018985	lncRNA	1	-	42205790	42208776
ENSG05220018986	SZT2-AS1	lncRNA	1	-	43318029	43318897
ENSG05220018987	ENSG05220018987	lncRNA	1	-	42703004	42716903
ENSG05220018988	ENSG05220018988	lncRNA	1	-	42829535	42832334
ENSG05220018989	ENSG05220018989	processed_pseudogene	1	-	41133996	41134308
ENSG05220018992	C1orf210	protein_coding	1	-	43152383	43156124
ENSG05220018997	FOXJ3	protein_coding	1	-	42047187	42206277
ENSG05220018999	RIMKLA	protein_coding	1	+	42251175	42294608
ENSG05220019000	TMSB4XP1	processed_pseudogene	1	-	42370563	42370697
ENSG05220019001	C1orf50	protein_coding	1	+	42637739	42649982
ENSG05220019005	MIR30E	miRNA	1	+	40623565	40623656
ENSG05220019007	ENSG05220019007	processed_pseudogene	1	-	42282775	42283171
ENSG05220019008	ENSG05220019008	processed_pseudogene	1	+	42974566	42974977
ENSG05220019009	RPL23AP17	processed_pseudogene	1	+	40968074	40968572
ENSG05220019010	ENSG05220019010	lncRNA	1	+	40808662	40814903
ENSG05220019011	ENSG05220019011	lncRNA	1	-	43808995	43811861
ENSG05220019015	CFAP57	protein_coding	1	+	43042826	43124856
ENSG05220019037	ST3GAL3	protein_coding	1	+	43576316	43802242
ENSG05220019046	TIE1	protein_coding	1	+	43171478	43193657
ENSG05220019047	CTPS1	protein_coding	1	+	40849061	40881929
ENSG05220019048	ELOVL1	protein_coding	1	-	43233946	43238622
ENSG05220019049	MKRN8P	processed_pseudogene	1	-	42761572	42762906
ENSG05220019050	SCMH1	protein_coding	1	-	40896565	41111597
ENSG05220019051	ZMYND12	protein_coding	1	-	42300691	42326615
ENSG05220019052	SLC2A1	protein_coding	1	-	42795821	42829363
ENSG05220019053	RNA5SP46	rRNA_pseudogene	1	+	43066927	43067046
ENSG05220019054	ENSG05220019054	lncRNA	1	+	40733153	40745912
ENSG05220019055	ENSG05220019055	lncRNA	1	+	41111816	41154270
ENSG05220019056	ENSG05220019056	processed_pseudogene	1	+	42011272	42012028
ENSG05220019057	ENSG05220019057	lncRNA	1	-	43218835	43219391
ENSG05220019058	HNRNPFP1	processed_pseudogene	1	+	41911165	41912297
ENSG05220019059	RNA5SP45	rRNA_pseudogene	1	-	41337135	41337226
ENSG05220019060	ENSG05220019060	processed_pseudogene	1	+	42441451	42441871
ENSG05220019061	MPL	protein_coding	1	+	43208365	43225013
ENSG05220019062	CCDC30	protein_coding	1	+	42333582	42527685
ENSG05220019063	GUCA2A	protein_coding	1	-	42033343	42035398
ENSG05220019064	RPS3AP11	processed_pseudogene	1	+	42362101	42362855
ENSG05220019065	ENSG05220019065	lncRNA	1	+	41906711	41922352
ENSG05220019066	ENSG05220019066	processed_pseudogene	1	+	41412233	41414474
ENSG05220019067	ENSG05220019067	transcribed_unprocessed_pseudogene	1	-	41172343	41175559
ENSG05220019068	PTPRF	protein_coding	1	+	43395430	43494171
ENSG05220019069	NFYC	protein_coding	1	+	40560842	40640813
ENSG05220019070	CLDN19	protein_coding	1	-	42603583	42610744
ENSG05220019071	ENSG05220019071	lncRNA	1	+	41405598	41406023
ENSG05220019072	UBE2V1P8	processed_pseudogene	1	-	40811619	40811883
ENSG05220019073	ATP6V1E1P1	processed_pseudogene	1	+	42773708	42774388
ENSG05220019074	MIR6079	miRNA	1	+	43709448	43709509
ENSG05220019075	SZT2	protein_coding	1	+	43260432	43324500
ENSG05220019076	ENSG05220019076	lncRNA	1	-	42529182	42552655
ENSG05220019077	IPO13	protein_coding	1	+	43818031	43839101
ENSG05220019078	TMEM125	protein_coding	1	+	43140490	43144509
