# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "example_data/genome/mm10_chr19/gencode.vM25.primary_assembly.annotation.ch19.gtf" "-o" "feature_count/counts.s2.strict.txt" "-T" "4" "-g" "gene_id" "-Q" "20" "--minOverlap" "1" "--fracOverlap" "0" "-p" "-B" "-C" "-s" "2" "mapped_reads/KO_D0_1_S2.bam" "mapped_reads/KO_D0_2_S8.bam" "mapped_reads/KO_D2_1_S4.bam" "mapped_reads/KO_D2_2_S10.bam" "mapped_reads/KO_D8_1_S6.bam" "mapped_reads/KO_D8_2_S12.bam" "mapped_reads/WT_D0_1_S1.bam" "mapped_reads/WT_D0_2_S7.bam" "mapped_reads/WT_D2_1_S3.bam" "mapped_reads/WT_D2_2_S9.bam" "mapped_reads/WT_D8_1_S5.bam" "mapped_reads/WT_D8_2_S11.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped_reads/KO_D0_1_S2.bam	mapped_reads/KO_D0_2_S8.bam	mapped_reads/KO_D2_1_S4.bam	mapped_reads/KO_D2_2_S10.bam	mapped_reads/KO_D8_1_S6.bam	mapped_reads/KO_D8_2_S12.bam	mapped_reads/WT_D0_1_S1.bam	mapped_reads/WT_D0_2_S7.bam	mapped_reads/WT_D2_1_S3.bam	mapped_reads/WT_D2_2_S9.bam	mapped_reads/WT_D8_1_S5.bam	mapped_reads/WT_D8_2_S11.bam
ENSMUSG00000024829.12	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3282901;3283055;3283060;3283060;3283064;3284760;3284760;3284760;3284760;3284760;3285310;3285310;3285310;3285310;3286811;3286875;3286875;3286875;3286875;3287703;3287703;3287703;3287703;3287703;3288984;3288984;3288984;3288984;3290977;3290977;3292436	3283171;3283171;3283171;3283171;3283171;3284833;3284817;3284817;3285325;3284817;3285395;3285395;3285395;3285395;3287038;3287038;3287038;3287038;3287038;3287755;3287739;3287755;3287755;3287755;3289087;3289087;3289179;3289087;3291195;3291201;3292837	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2011	460	375	480	455	455	378	409	344	415	452	391	437
ENSMUSG00000099261.1	chr19	3288920	3288983	+	64	0	0	1	0	0	0	1	1	0	0	0	0
ENSMUSG00000118213.1	chr19	3316782	3317581	-	800	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024900.5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3322334;3323285;3323348;3333725;3341627;3349189;3349189;3349189;3349189;3349189;3352485;3352485;3352485;3352485;3356317;3356317;3356317;3356317;3358176;3358176;3358176;3358176;3362085;3362085;3362085;3364478;3364478;3364483;3365675;3365675;3366330;3366330;3366330;3368855;3368855;3368855;3370707;3370707;3371572;3375040;3375093;3376344;3376411;3376411;3378368;3378368;3378368;3380017;3380017;3381610;3381610;3381932;3381932;3383755;3383755	3322698;3323374;3323374;3333815;3341872;3349342;3351674;3349342;3349342;3349342;3352624;3352624;3352624;3352624;3356488;3356488;3356488;3356488;3358277;3358277;3358277;3358277;3362226;3362222;3362222;3364555;3364555;3364538;3365782;3365782;3366417;3366417;3366417;3369217;3369050;3369050;3370895;3370748;3371677;3375209;3375209;3376575;3376575;3376575;3378502;3378498;3378502;3380169;3380169;3381723;3381723;3382024;3382024;3383866;3385733	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7642	1924	1390	2328	3202	2467	2212	2048	1468	2350	2417	2535	2756
ENSMUSG00000024905.15	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3388857;3388885;3389379;3389379;3391076;3392103;3392103;3392103;3392103;3393925;3393925;3393925;3393925;3395920;3395920;3395920;3395920;3396963;3396963;3396963;3396963;3402486;3402486;3402486;3404049;3404049;3404049;3404933;3404933;3404933;3406918;3406918;3406918	3389333;3389333;3389869;3389869;3391144;3392261;3392261;3392261;3392261;3394045;3394045;3394045;3394045;3395993;3395993;3395993;3395993;3397054;3397054;3398172;3397054;3402576;3402576;3402576;3404186;3404186;3404186;3405108;3405108;3405108;3407785;3407289;3407823	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3912	14	22	21	18	14	13	10	11	21	18	9	9
ENSMUSG00000024907.7	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3409915;3409932;3411129;3411129;3411558;3411558;3413295;3413295;3414032;3414032;3414312;3414312	3410165;3410163;3411206;3411206;3411647;3411647;3413349;3413349;3414112;3414112;3414447;3414544	-;-;-;-;-;-;-;-;-;-;-;-	788	0	13	3	6	1	2	2	9	2	6	2	4
ENSMUSG00000024908.15	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3454928;3454933;3454933;3456734;3459361;3459361;3459361;3459361;3459747;3464545;3464545;3464545;3464545;3466493;3466493;3466493;3466493;3466534;3467141;3467141;3467141;3467141;3467141;3469641;3469641;3469641;3469641;3469641;3470971;3470971;3470971;3470971;3470971;3471979;3471979;3471979;3471979;3473769;3473769;3473769;3473769;3477776;3478278;3478278;3483528;3483528;3484831;3484831;3484831;3484831;3484831;3486976;3486976;3486976;3486976;3486976;3490774;3490774;3490774;3490774;3490774;3490774;3492366;3492366;3492366;3492366;3492366;3492366;3493886;3493886;3493886;3493886;3493886;3493886;3496522;3496522;3496522;3496522;3496522;3496522;3507242;3507242;3507242;3507242;3507242;3511495;3511929;3511929;3511929;3511929;3511929;3514654;3514654;3514654;3514654;3514654;3514654;3518245;3518245;3518245;3518245;3518245;3518245;3521734;3521734;3521734;3521734;3521734;3521734;3526702;3526702;3526702;3526702;3526702;3526761;3527571;3544108;3544108;3544108;3544108;3575641;3575641;3575641;3575641;3575641;3575641	3457051;3457051;3457051;3457051;3459480;3459480;3459480;3459480;3459764;3464695;3464695;3464695;3464695;3466599;3466599;3466599;3466599;3466599;3467294;3467294;3467294;3467294;3467294;3469762;3469762;3469762;3469762;3469762;3471101;3471005;3471101;3471101;3471101;3472033;3472033;3472033;3472033;3473815;3473866;3473815;3473866;3478364;3478364;3478364;3487091;3484916;3484916;3484852;3484916;3484916;3484916;3487091;3487091;3487091;3487091;3487091;3490838;3490838;3490838;3490838;3490838;3490838;3492515;3492515;3492515;3492515;3492515;3492515;3494038;3494038;3494038;3494038;3494038;3494038;3496651;3496530;3496651;3496651;3496651;3496651;3507355;3507355;3507355;3507355;3507355;3512041;3512041;3512041;3512041;3512041;3512041;3514719;3514719;3514719;3514719;3514719;3514719;3518382;3518382;3518382;3518382;3518382;3518382;3521747;3521920;3521920;3521920;3521920;3521920;3526929;3526934;3526934;3526934;3526934;3526934;3527675;3544255;3544255;3544255;3544255;3575722;3575696;3575737;3575749;3575716;3575720	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9378	2078	1985	2419	2609	2450	2336	1905	1962	2201	2136	2066	2324
ENSMUSG00000114315.1	chr19;chr19	3486090;3487985	3486590;3488014	+;+	531	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075908.1	chr19	3490309	3490413	+	105	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114302.1	chr19;chr19	3527104;3528057	3527241;3528613	+;+	695	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000024913.16	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3584828;3584831;3584836;3586383;3586383;3586383;3590974;3590974;3590974;3591616;3591616;3591616;3593516;3593516;3593516;3597244;3597244;3600673;3600673;3600673;3602235;3602235;3602235;3604002;3604002;3604002;3605286;3605286;3605286;3610039;3610039;3610039;3612198;3612198;3612198;3614226;3614226;3614226;3615653;3615653;3615653;3620015;3620015;3621671;3622510;3622510;3628273;3628273;3628273;3630074;3630074;3630074;3647528;3647528;3647528;3649404;3649404;3649404;3651843;3652133;3652133;3652133;3659244;3659244;3659244;3686355;3686355;3686355	3585291;3585291;3585291;3586480;3586480;3586480;3591113;3591113;3591113;3591852;3591852;3591852;3593626;3597480;3593626;3597480;3597480;3600798;3600798;3600798;3602444;3602444;3602444;3604192;3604192;3604192;3605494;3605494;3605494;3610209;3610238;3610238;3612521;3612521;3612521;3614410;3614410;3614410;3615792;3615879;3615879;3620304;3620304;3622726;3622726;3622726;3628444;3628444;3628444;3630470;3630470;3630470;3647659;3647659;3647659;3649600;3649600;3649600;3651955;3652330;3652330;3652330;3659640;3659640;3659640;3686564;3686561;3686556	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9738	1798	3156	3978	4493	2336	2239	1540	2994	3360	3748	2080	2214
ENSMUSG00000118249.1	chr19;chr19;chr19	3689686;3706646;3708061	3690000;3706785;3708176	-;-;-	571	7	14	14	19	7	4	3	11	19	13	5	7
ENSMUSG00000035372.2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3708293;3708333;3708347;3708371;3708411;3708413;3714047;3714047;3714404;3714404;3714407;3715638;3715638;3715638;3715638;3715638;3716491;3716491;3716491;3716491;3716491	3708436;3708436;3708436;3708436;3708508;3708508;3714387;3714625;3714625;3714625;3714625;3715802;3715802;3715802;3715802;3715802;3717880;3717873;3717878;3716734;3717881	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2351	2527	2404	2091	2765	2209	2255	2568	2488	2048	2497	2008	2356
ENSMUSG00000117739.1	chr19;chr19	3713044;3719520	3713371;3719573	-;-	382	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000118231.1	chr19	3730473	3731012	-	540	1	1	1	1	1	1	1	1	1	1	1	1
ENSMUSG00000118096.1	chr19	3732094	3732340	-	247	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117773.1	chr19;chr19	3740225;3742008	3740386;3742537	-;-	692	0	1	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000045098.19	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3767421;3767421;3767421;3767421;3767421;3767523;3768022;3768022;3768022;3768022;3768022;3768022;3768033;3768118;3768134;3768146;3768149;3768166;3768169;3768218;3768233;3768547;3769953;3777462;3782220;3782220;3782220;3782220;3782220;3782220;3782220;3782756;3782756;3786389;3786389;3786389;3786389;3786389;3786389;3786389;3786389;3786389;3786389;3786389;3786389;3786389;3786389;3791720;3793068;3793068;3793068;3793068;3793068;3793068;3793068;3793068;3793068;3793068;3793068;3793068;3793068;3793068;3793068;3796530;3796640;3796640;3796640;3796640;3796640;3796640;3796640;3796640;3796640;3796640;3796640;3802073;3802075;3802075;3802075;3802075;3802075;3802075;3802075;3802075;3802075;3802075;3802075;3802075;3802075;3802095;3802788;3802788;3802788;3802788;3802788;3802788;3802788;3802788;3802788;3802788;3802788;3802788;3802788;3802788;3802788;3804394;3804395;3804395;3804395;3804395;3804395;3804395;3804395;3804395;3804395;3804395;3804395;3804395;3804395;3804448;3804814;3804814;3804814;3804814;3804814;3804814;3804814;3804814;3804814;3804814;3804814;3804814;3804814;3804917;3804917;3804917;3804917;3804917;3804917;3804917;3804917;3804917;3804917;3804917;3804917;3804917;3804917;3807225;3807225;3807225;3807225;3807225;3807225;3807225;3807225;3807225;3807225;3808633;3814115;3814115;3814115;3814115;3814115	3767730;3767730;3767730;3767730;3767730;3767730;3768340;3768340;3768340;3768340;3768340;3768340;3768340;3768340;3768340;3768340;3768340;3768340;3768227;3768340;3768340;3768702;3770106;3777512;3782279;3782279;3782679;3782279;3782279;3782279;3782279;3782852;3782852;3786627;3786627;3786627;3786627;3786627;3786627;3786627;3786627;3786627;3786627;3786627;3786627;3786627;3786627;3793215;3793215;3793185;3793167;3793215;3793215;3793215;3793215;3793215;3793215;3793215;3793215;3793215;3793215;3793215;3793215;3796708;3799549;3796660;3796708;3796708;3796708;3796708;3796708;3796708;3796708;3796708;3796708;3802240;3802240;3802240;3802240;3802240;3802240;3802240;3802240;3802240;3802240;3802240;3802240;3802240;3802240;3802240;3802897;3802897;3803421;3802897;3802897;3802897;3802897;3802897;3802897;3802897;3802897;3802897;3802897;3802897;3802897;3804833;3804561;3804561;3804561;3804502;3804561;3804561;3804561;3804561;3804561;3804561;3804561;3804561;3804561;3804561;3804833;3804833;3804833;3804833;3804833;3804833;3804833;3804833;3804833;3804833;3804833;3804833;3804833;3805053;3805053;3805046;3805053;3805053;3805463;3805057;3805053;3806324;3805053;3805053;3805053;3805053;3805053;3807402;3807420;3807421;3807421;3808835;3807421;3807421;3807421;3807421;3808829;3808807;3816688;3818303;3818302;3816391;3816391	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	14752	1300	1981	1101	1341	1479	1423	1307	2194	949	916	1279	1439
ENSMUSG00000082848.1	chr19;chr19;chr19	3798615;3803466;3852340	3799541;3803544;3852419	-;-;-	1086	0	0	1	0	0	0	0	0	1	2	2	0
ENSMUSG00000117779.1	chr19	3821764	3822389	-	626	130	96	135	139	84	91	91	86	128	141	80	97
ENSMUSG00000024843.15	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3851773;3851797;3851810;3851810;3851832;3851832;3852076;3852101;3852363;3864648;3864648;3864648;3864648;3864648;3864648;3864648;3864648;3864648;3871003;3871003;3874664;3875365;3875379;3875405;3875735;3875735;3875735;3875735;3875735;3875735;3875735;3881998;3881998;3881998;3882010;3884472;3884472;3884472;3884472;3884472;3884472;3884472;3884472;3884472;3884472;3885860;3885860;3885860;3885860;3885860;3885860;3885860;3885860;3886362;3886362;3886362;3886362;3886362;3886362;3886362;3887389;3887389;3887389;3887389;3887389;3887389;3889023;3889023;3889023;3889023;3889023;3889880;3889880;3889880;3889880;3889880;3891731;3892107;3892107;3892107;3892710;3892710;3892710;3892710;3892710;3893348;3893348;3893348;3893348;3893348	3852413;3852413;3852413;3852413;3852413;3852413;3852413;3852413;3852413;3864759;3864759;3864759;3867670;3864759;3864759;3864759;3864759;3864759;3871913;3871062;3874798;3875471;3875788;3875471;3875788;3875788;3875788;3875788;3875788;3878614;3875788;3882120;3882120;3882120;3882120;3884585;3884538;3884585;3884585;3884585;3884585;3884585;3884585;3884585;3884585;3885993;3885993;3885993;3885864;3885993;3885993;3885993;3885993;3886416;3886466;3886466;3886466;3886466;3886466;3886466;3887447;3887450;3887447;3887447;3887447;3887447;3889110;3889110;3889110;3889110;3889110;3889934;3889988;3892213;3889988;3889988;3892213;3892213;3892213;3892213;3892791;3892791;3892791;3892791;3892791;3893657;3894364;3894367;3894369;3894365	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12024	372	565	699	925	449	423	317	570	447	631	370	557
ENSMUSG00000117912.1	chr19;chr19	3863568;3867506	3863781;3867673	-;-	382	0	0	1	0	0	0	0	0	0	0	0	0
